ds,Total,y_original,y
2013-12-30,8062579,9,0.10582453986827389
2014-01-06,8062579,26,0.2795068414110481
2014-01-13,8062579,30,0.3163346710279884
2014-01-20,8062579,60,0.5562838172031382
2014-01-27,8062579,101,0.8121298979849157
2014-02-03,8062579,81,0.6954651514202268
2014-02-10,8062579,97,0.7898604604619621
2014-02-17,8062579,59,0.5491473418683473
2014-02-24,8062579,54,0.5126804300940655
2014-03-03,8062579,67,0.6048620523827843
2014-03-10,8062579,60,0.5562838172031382
2014-03-17,8062579,82,0.7016332211050168
2014-03-24,8062579,54,0.5126804300940655
2014-03-31,8062579,68,0.6116130968703598
2014-04-07,8062579,51,0.490144398817919
2014-04-14,8062579,34,0.35185424907459295
2014-04-21,8062579,89,0.7437762019589942
2014-04-28,8062579,22,0.24127069215477337
2014-05-05,8062579,47,0.4592838929579215
2014-05-12,8062579,54,0.5126804300940655
2014-05-19,8062579,47,0.4592838929579215
2014-05-26,8062579,40,0.40287453534295736
2014-06-02,8062579,45,0.44348899383323676
2014-06-09,8062579,55,0.5200809756450077
2014-06-16,8062579,45,0.44348899383323676
2014-06-23,8062579,29,0.30725408353424155
2014-06-30,8062579,49,0.47483318751695064
2014-07-07,8062579,44,0.4354969937614176
2014-07-14,8062579,26,0.2795068414110481
2014-07-21,8062579,48,0.46708876250313347
2014-07-28,8062579,30,0.3163346710279884
2014-08-04,8062579,42,0.4193187867529389
2014-08-11,8062579,43,0.4274406066981394
2014-08-18,8062579,37,0.37768974062474386
2014-08-25,8062579,31,0.32533354292171207
2014-09-01,8062579,117,0.8965567194740576
2014-09-08,8062579,94,0.7728267680293053
2014-09-15,8062579,28,0.29809028276883826
2014-09-22,8062579,67,0.6048620523827843
2014-09-29,8062579,46,0.45141762792621437
2014-10-06,8062579,50,0.48251809703013276
2014-10-13,8062579,54,0.5126804300940655
2014-10-20,8062579,29,0.30725408353424155
2014-10-27,8062579,32,0.3342521568147694
2014-11-03,8062579,58,0.5419595709645212
2014-11-10,8062579,51,0.490144398817919
2014-11-17,8062579,43,0.4274406066981394
2014-11-24,8062579,56,0.5274271552131272
2014-12-01,8062579,31,0.32533354292171207
2014-12-08,8062579,52,0.49771298004353676
2014-12-15,8062579,50,0.48251809703013276
2014-12-22,8062579,45,0.44348899383323676
2014-12-29,16125158,23,0.25096766355179806
2015-01-05,8062579,52,0.49771298004353676
2015-01-12,8062579,49,0.47483318751695064
2015-01-19,8062579,71,0.6315970039556852
2015-01-26,8062579,70,0.624979975526899
2015-02-02,8062579,67,0.6048620523827843
2015-02-09,8062579,40,0.40287453534295736
2015-02-16,8062579,52,0.49771298004353676
2015-02-23,8062579,47,0.4592838929579215
2015-03-02,8062579,48,0.46708876250313347
2015-03-09,8062579,55,0.5200809756450077
2015-03-16,8062579,42,0.4193187867529389
2015-03-23,8062579,63,0.5773926630714089
2015-03-30,8062579,50,0.48251809703013276
2015-04-06,8062579,69,0.6183188702129868
2015-04-13,8062579,82,0.7016332211050168
2015-04-20,8062579,64,0.5843310743841431
2015-04-27,8062579,78,0.676729332804054
2015-05-04,8062579,82,0.7016332211050168
2015-05-11,8062579,117,0.8965567194740576
2015-05-18,8062579,89,0.7437762019589942
2015-05-25,8062579,89,0.7437762019589942
2015-06-01,8062579,109,0.8552340302598105
2015-06-08,8062579,105,0.8339141919226192
2015-06-15,8062579,88,0.7378634259512172
2015-06-22,8062579,80,0.6892588004077828
2015-06-29,8062579,80,0.6892588004077828
2015-07-06,8062579,72,0.6381705349851045
2015-07-13,8062579,61,0.5633697239262775
2015-07-20,8062579,54,0.5126804300940655
2015-07-27,8062579,43,0.4274406066981394
2015-08-03,8062579,56,0.5274271552131272
2015-08-10,8062579,81,0.6954651514202268
2015-08-17,8062579,74,0.6511893663170599
2015-08-24,8062579,67,0.6048620523827843
2015-08-31,8062579,67,0.6048620523827843
2015-09-07,8062579,55,0.5200809756450077
2015-09-14,8062579,89,0.7437762019589942
2015-09-21,8062579,69,0.6183188702129868
2015-09-28,8062579,73,0.6447011367476211
2015-10-05,8062579,81,0.6954651514202268
2015-10-12,8062579,64,0.5843310743841431
2015-10-19,8062579,67,0.6048620523827843
2015-10-26,8062579,76,0.6640408835806204
2015-11-02,8062579,61,0.5633697239262775
2015-11-09,8062579,80,0.6892588004077828
2015-11-16,8062579,57,0.5347197617449735
2015-11-23,8062579,48,0.46708876250313347
2015-11-30,8062579,57,0.5347197617449735
2015-12-07,8062579,66,0.5980651213358685
2015-12-14,8062579,30,0.3163346710279884
2015-12-21,8062579,37,0.37768974062474386
2016-01-04,8062579,41,0.41113046234265826
2016-01-11,8062579,81,0.6954651514202268
2016-01-18,8062579,57,0.5347197617449735
2016-01-25,8062579,73,0.6447011367476211
2016-02-01,8062579,76,0.6640408835806204
2016-02-08,8062579,60,0.5562838172031382
2016-02-15,8062579,82,0.7016332211050168
2016-02-22,8062579,71,0.6315970039556852
2016-02-29,8062579,74,0.6511893663170599
2016-03-07,8062579,75,0.657635769993764
2016-03-14,8062579,51,0.490144398817919
2016-03-21,8062579,28,0.29809028276883826
2016-03-28,8062579,56,0.5274271552131272
2016-04-04,8062579,100,0.8066088590420096
2016-04-11,8062579,77,0.6704052326503009
2016-04-18,8062579,80,0.6892588004077828
2016-04-25,8062579,61,0.5633697239262775
2016-05-02,8062579,94,0.7728267680293053
2016-05-09,8062579,87,0.7319154809740127
2016-05-16,8062579,87,0.7319154809740127
2016-05-23,8062579,86,0.7259319461553853
2016-05-30,8062579,97,0.7898604604619621
2016-06-06,8062579,96,0.7842147402301521
2016-06-13,8062579,76,0.6640408835806204
2016-06-20,8062579,50,0.48251809703013276
2016-06-27,8062579,83,0.7077634788139276
