ds,Total,y_original,y
2013-12-30,2320898,14,0.4720108572508761
2014-01-06,2320898,13,0.44476788162079683
2014-01-13,2320898,23,0.6886348787483042
2014-01-20,2320898,8,0.296166601169965
2014-01-27,2320898,19,0.5980937218666807
2014-02-03,2320898,12,0.41676189095855043
2014-02-10,2320898,24,0.7100448559868413
2014-02-17,2320898,29,0.8107152379984439
2014-02-24,2320898,37,0.953282237879423
2014-03-03,2320898,19,0.5980937218666807
2014-03-10,2320898,29,0.8107152379984439
2014-03-17,2320898,19,0.5980937218666807
2014-03-24,2320898,16,0.5243665294479649
2014-03-31,2320898,26,0.7515368544227433
2014-04-07,2320898,20,0.6215090712724687
2014-04-14,2320898,9,0.32770602291167283
2014-04-21,2320898,21,0.644388663122847
2014-04-28,2320898,13,0.44476788162079683
2014-05-05,2320898,20,0.6215090712724687
2014-05-12,2320898,30,0.8296879063495561
2014-05-19,2320898,28,0.7913756345454103
2014-05-26,2320898,25,0.7310060380115783
2014-06-02,2320898,21,0.644388663122847
2014-06-09,2320898,22,0.666756466925862
2014-06-16,2320898,29,0.8107152379984439
2014-06-23,2320898,17,0.5495510810173518
2014-06-30,2320898,20,0.6215090712724687
2014-07-07,2320898,26,0.7515368544227433
2014-07-14,2320898,34,0.9021716063247183
2014-07-21,2320898,21,0.644388663122847
2014-07-28,2320898,20,0.6215090712724687
2014-08-04,2320898,22,0.666756466925862
2014-08-11,2320898,25,0.7310060380115783
2014-08-18,2320898,38,0.969754638034419
2014-08-25,2320898,44,1.06326759680775
2014-09-01,2320898,5,0.1951010942233002
2014-09-08,2320898,36,0.936533946829593
2014-09-15,2320898,26,0.7515368544227433
2014-09-22,2320898,19,0.5980937218666807
2014-09-29,2320898,8,0.296166601169965
2014-10-06,2320898,12,0.41676189095855043
2014-10-13,2320898,11,0.3879489099557772
2014-10-20,2320898,5,0.1951010942233002
2014-10-27,2320898,21,0.644388663122847
2014-11-03,2320898,13,0.44476788162079683
2014-11-10,2320898,5,0.1951010942233002
2014-11-17,2320898,8,0.296166601169965
2014-11-24,2320898,8,0.296166601169965
2014-12-01,2320898,11,0.3879489099557772
2014-12-08,2320898,0,0.0
2014-12-15,2320898,9,0.32770602291167283
2014-12-22,2320898,3,0.12156282738803083
2014-12-29,4641796,5,0.1951010942233002
2015-01-05,2320898,5,0.1951010942233002
2015-01-12,2320898,11,0.3879489099557772
2015-01-19,2320898,2,0.0826610075005136
2015-01-26,2320898,30,0.8296879063495561
2015-02-02,2320898,31,0.8483073046326571
2015-02-09,2320898,27,0.7716546224160029
2015-02-16,2320898,31,0.8483073046326571
2015-02-23,2320898,18,0.574116921024531
2015-03-02,2320898,38,0.969754638034419
2015-03-09,2320898,27,0.7716546224160029
2015-03-16,2320898,27,0.7716546224160029
2015-03-23,2320898,24,0.7100448559868413
2015-03-30,2320898,37,0.953282237879423
2015-04-06,2320898,26,0.7515368544227433
2015-04-13,2320898,24,0.7100448559868413
