ds,Total,y_original,y
2013-12-30,1622138,1,0.05982150994529723
2014-01-06,1622138,11,0.5176725687382618
2014-01-13,1622138,13,0.5885705079173063
2014-01-20,1622138,12,0.5537497215012135
2014-01-27,1622138,10,0.4802449833133864
2014-02-03,1622138,9,0.4413619223010493
2014-02-10,1622138,15,0.6547729913286023
2014-02-17,1622138,13,0.5885705079173063
2014-02-24,1622138,25,0.9326269285795264
2014-03-03,1622138,19,0.7753231593671266
2014-03-10,1622138,17,0.7168635193464303
2014-03-17,1622138,11,0.5176725687382618
2014-03-24,1622138,15,0.6547729913286023
2014-03-31,1622138,15,0.6547729913286023
2014-04-07,1622138,21,0.8305532021510622
2014-04-14,1622138,17,0.7168635193464303
2014-04-21,1622138,19,0.7753231593671266
2014-04-28,1622138,13,0.5885705079173063
2014-05-05,1622138,7,0.35874328081218837
2014-05-12,1622138,16,0.6863000821555424
2014-05-19,1622138,22,0.8570649196945647
2014-05-26,1622138,13,0.5885705079173063
2014-06-02,1622138,18,0.7465204697287823
2014-06-09,1622138,26,0.9565966026007179
2014-06-16,1622138,15,0.6547729913286023
2014-06-23,1622138,23,0.8828918810625869
2014-06-30,1622138,25,0.9326269285795264
2014-07-07,1622138,20,0.803319427010303
2014-07-14,1622138,15,0.6547729913286023
2014-07-21,1622138,11,0.5176725687382618
2014-07-28,1622138,7,0.35874328081218837
2014-08-04,1622138,12,0.5537497215012135
2014-08-11,1622138,21,0.8305532021510622
2014-08-18,1622138,13,0.5885705079173063
2014-08-25,1622138,20,0.803319427010303
2014-09-01,1622138,13,0.5885705079173063
2014-09-08,1622138,20,0.803319427010303
2014-09-15,1622138,14,0.6222194957082872
2014-09-22,1622138,18,0.7465204697287823
2014-09-29,1622138,9,0.4413619223010493
2014-10-06,1622138,14,0.6222194957082872
2014-10-13,1622138,15,0.6547729913286023
2014-10-20,1622138,16,0.6863000821555424
2014-10-27,1622138,18,0.7465204697287823
2014-11-03,1622138,6,0.3147247632774723
2014-11-10,1622138,8,0.4009055889900332
2014-11-17,1622138,8,0.4009055889900332
2014-11-24,1622138,11,0.5176725687382618
2014-12-01,1622138,18,0.7465204697287823
2014-12-08,1622138,5,0.26867903884290956
2014-12-15,1622138,9,0.4413619223010493
2014-12-22,1622138,1,0.05982150994529723
2014-12-29,3244276,18,0.7465204697287823
2015-01-05,1622138,10,0.4802449833133864
2015-01-12,1622138,21,0.8305532021510622
2015-01-19,1622138,18,0.7465204697287823
2015-01-26,1622138,11,0.5176725687382618
2015-02-02,1622138,19,0.7753231593671266
2015-02-09,1622138,11,0.5176725687382618
2015-02-16,1622138,4,0.22041033530548912
2015-02-23,1622138,13,0.5885705079173063
2015-03-02,1622138,13,0.5885705079173063
2015-03-09,1622138,6,0.3147247632774723
2015-03-16,1622138,13,0.5885705079173063
2015-03-23,1622138,15,0.6547729913286023
2015-03-30,1622138,9,0.4413619223010493
2015-04-06,1622138,17,0.7168635193464303
2015-04-13,1622138,16,0.6863000821555424
2015-04-20,1622138,19,0.7753231593671266
2015-04-27,1622138,16,0.6863000821555424
2015-05-04,1622138,17,0.7168635193464303
2015-05-11,1622138,29,1.0252398586381994
2015-05-18,1622138,21,0.8305532021510622
2015-05-25,1622138,19,0.7753231593671266
2015-06-01,1622138,13,0.5885705079173063
2015-06-08,1622138,21,0.8305532021510622
2015-06-15,1622138,18,0.7465204697287823
2015-06-22,1622138,20,0.803319427010303
2015-06-29,1622138,21,0.8305532021510622
2015-07-06,1622138,18,0.7465204697287823
2015-07-13,1622138,17,0.7168635193464303
2015-07-20,1622138,11,0.5176725687382618
2015-07-27,1622138,12,0.5537497215012135
2015-08-03,1622138,18,0.7465204697287823
2015-08-10,1622138,12,0.5537497215012135
2015-08-17,1622138,20,0.803319427010303
2015-08-24,1622138,17,0.7168635193464303
2015-08-31,1622138,17,0.7168635193464303
2015-09-07,1622138,13,0.5885705079173063
2015-09-14,1622138,17,0.7168635193464303
2015-09-21,1622138,28,1.0028782573246033
2015-09-28,1622138,34,1.130110707227769
2015-10-05,1622138,27,0.9800051550150707
2015-10-12,1622138,12,0.5537497215012135
2015-10-19,1622138,8,0.4009055889900332
2015-10-26,1622138,12,0.5537497215012135
2015-11-02,1622138,18,0.7465204697287823
2015-11-09,1622138,13,0.5885705079173063
2015-11-16,1622138,17,0.7168635193464303
2015-11-23,1622138,7,0.35874328081218837
2015-11-30,1622138,16,0.6863000821555424
2015-12-07,1622138,9,0.4413619223010493
2015-12-14,1622138,13,0.5885705079173063
2015-12-21,1622138,8,0.4009055889900332
2016-01-04,1622138,13,0.5885705079173063
2016-01-11,1622138,16,0.6863000821555424
2016-01-18,1622138,15,0.6547729913286023
2016-01-25,1622138,6,0.3147247632774723
2016-02-01,1622138,13,0.5885705079173063
2016-02-08,1622138,6,0.3147247632774723
2016-02-15,1622138,10,0.4802449833133864
2016-02-22,1622138,12,0.5537497215012135
2016-02-29,1622138,9,0.4413619223010493
2016-03-07,1622138,15,0.6547729913286023
2016-03-14,1622138,25,0.9326269285795264
2016-03-21,1622138,5,0.26867903884290956
2016-03-28,1622138,18,0.7465204697287823
2016-04-04,1622138,30,1.0471123363890686
2016-04-11,1622138,16,0.6863000821555424
2016-04-18,1622138,13,0.5885705079173063
2016-04-25,1622138,14,0.6222194957082872
2016-05-02,1622138,27,0.9800051550150707
2016-05-09,1622138,24,0.9080685698276818
2016-05-16,1622138,24,0.9080685698276818
2016-05-23,1622138,29,1.0252398586381994
2016-05-30,1622138,20,0.803319427010303
2016-06-06,1622138,23,0.8828918810625869
2016-06-13,1622138,16,0.6863000821555424
2016-06-20,1622138,29,1.0252398586381994
2016-06-27,1622138,9,0.4413619223010493
2016-07-04,1622138,10,0.4802449833133864
2016-07-11,1622138,10,0.4802449833133864
2016-07-18,1622138,32,1.0894723659577532
2016-07-25,1622138,21,0.8305532021510622
2016-08-01,1622138,15,0.6547729913286023
2016-08-08,1622138,15,0.6547729913286023
2016-08-15,1622138,19,0.7753231593671266
2016-08-22,1622138,22,0.8570649196945647
2016-08-29,1622138,14,0.6222194957082872
2016-09-05,1622138,12,0.5537497215012135
2016-09-12,1622138,13,0.5885705079173063
2016-09-19,1622138,14,0.6222194957082872
2016-09-26,1622138,20,0.803319427010303
2016-10-03,1622138,16,0.6863000821555424
2016-10-10,1622138,17,0.7168635193464303
2016-10-17,1622138,18,0.7465204697287823
2016-10-24,1622138,15,0.6547729913286023
2016-10-31,1622138,20,0.803319427010303
2016-11-07,1622138,15,0.6547729913286023
2016-11-14,1622138,18,0.7465204697287823
2016-11-21,1622138,22,0.8570649196945647
2016-11-28,1622138,9,0.4413619223010493
2016-12-05,1622138,15,0.6547729913286023
2016-12-12,1622138,16,0.6863000821555424
2016-12-19,1622138,9,0.4413619223010493
2016-12-26,1622138,6,0.3147247632774723
2017-01-02,1622138,19,0.7753231593671266
2017-01-09,1622138,23,0.8828918810625869
2017-01-16,1622138,18,0.7465204697287823
2017-01-23,1622138,21,0.8305532021510622
2017-01-30,1622138,16,0.6863000821555424
2017-02-06,1622138,17,0.7168635193464303
2017-02-13,1622138,23,0.8828918810625869
2017-02-20,1622138,23,0.8828918810625869
