ds,Total,y_original,y
2013-12-30,126014024,131,0.09890071105650755
2014-01-06,126014024,659,0.420654277727269
2014-01-13,126014024,936,0.5554783668175796
2014-01-20,126014024,1035,0.5995709320422533
2014-01-27,126014024,1224,0.6787036034473435
2014-02-03,126014024,926,0.5509145250448578
2014-02-10,126014024,1365,0.733911303021314
2014-02-17,126014024,1263,0.6942812363785091
2014-02-24,126014024,1409,0.7505333967088511
2014-03-03,126014024,1317,0.7154573337004583
2014-03-10,126014024,1551,0.8023671640417793
2014-03-17,126014024,1341,0.7247268863798325
2014-03-24,126014024,1481,0.7771509634635285
2014-03-31,126014024,1505,0.7858683370416402
2014-04-07,126014024,1530,0.7948688434458685
2014-04-14,126014024,949,0.5613803918058736
2014-04-21,126014024,1467,0.7720305126600104
2014-04-28,126014024,1268,0.6962609330723658
2014-05-05,126014024,1382,0.740366269333504
2014-05-12,126014024,1482,0.7775157086246539
2014-05-19,126014024,1640,0.8335360780867515
2014-05-26,126014024,1588,0.8154432175533105
2014-06-02,126014024,1624,0.8280038287904002
2014-06-09,126014024,1722,0.8614182277193042
2014-06-16,126014024,1714,0.8587319859153938
2014-06-23,126014024,1597,0.818598192141132
2014-06-30,126014024,1488,0.779701390179707
2014-07-07,126014024,1505,0.7858683370416402
2014-07-14,126014024,1426,0.7568822918478137
2014-07-21,126014024,1435,0.7602272237557025
2014-07-28,126014024,1199,0.668588776564248
2014-08-04,126014024,1461,0.7698279819908953
2014-08-11,126014024,1663,0.8414354467257573
2014-08-18,126014024,1732,0.8647659143144169
2014-08-25,126014024,1503,0.7851447847202663
2014-09-01,126014024,1622,0.827310140688638
2014-09-08,126014024,1559,0.8052089426750892
2014-09-15,126014024,1347,0.7270309107799409
2014-09-22,126014024,1692,0.8513073960277566
2014-09-29,126014024,1432,0.7591134891650353
2014-10-06,126014024,1459,0.76909272574907
2014-10-13,126014024,1537,0.7973745360408662
2014-10-20,126014024,1703,0.8550265815226236
2014-10-27,126014024,1418,0.7538995969791151
2014-11-03,126014024,1420,0.7546461051547674
2014-11-10,126014024,1446,0.7643003376213727
2014-11-17,126014024,1193,0.6661459180962891
2014-11-24,126014024,1355,0.7300947087848708
