ds,Total,y_original,y
2013-12-30,9209944,0,0.0
2014-01-06,9209944,1,0.010799306332009642
2014-01-13,9209944,5,0.052866745135063765
2014-01-20,9209944,5,0.052866745135063765
2014-01-27,9209944,3,0.03205421810029911
2014-02-03,9209944,4,0.042514625800673465
2014-02-10,9209944,1,0.010799306332009642
2014-02-17,9209944,5,0.052866745135063765
2014-02-24,9209944,3,0.03205421810029911
2014-03-03,9209944,0,0.0
2014-03-10,9209944,3,0.03205421810029911
2014-03-17,9209944,2,0.021483232562464424
2014-03-24,9209944,2,0.021483232562464424
2014-03-31,9209944,1,0.010799306332009642
2014-04-07,9209944,2,0.021483232562464424
2014-04-14,9209944,2,0.021483232562464424
2014-04-21,9209944,2,0.021483232562464424
2014-04-28,9209944,1,0.010799306332009642
2014-05-05,9209944,0,0.0
2014-05-12,9209944,0,0.0
2014-05-19,9209944,0,0.0
2014-05-26,9209944,2,0.021483232562464424
2014-06-02,9209944,3,0.03205421810029911
2014-06-09,9209944,1,0.010799306332009642
2014-06-16,9209944,1,0.010799306332009642
2014-06-23,9209944,1,0.010799306332009642
2014-06-30,9209944,2,0.021483232562464424
2014-07-07,9209944,2,0.021483232562464424
2014-07-14,9209944,1,0.010799306332009642
2014-07-21,9209944,3,0.03205421810029911
2014-07-28,9209944,3,0.03205421810029911
2014-08-04,9209944,2,0.021483232562464424
2014-08-11,9209944,3,0.03205421810029911
2014-08-18,9209944,1,0.010799306332009642
2014-08-25,9209944,2,0.021483232562464424
2014-09-01,9209944,0,0.0
2014-09-08,9209944,0,0.0
2014-09-15,9209944,1,0.010799306332009642
2014-09-22,9209944,2,0.021483232562464424
2014-09-29,9209944,2,0.021483232562464424
2014-10-06,9209944,0,0.0
2014-10-13,9209944,3,0.03205421810029911
2014-10-20,9209944,0,0.0
2014-10-27,9209944,4,0.042514625800673465
2014-11-03,9209944,5,0.052866745135063765
2014-11-10,9209944,1,0.010799306332009642
2014-11-17,9209944,1,0.010799306332009642
2014-11-24,9209944,2,0.021483232562464424
2014-12-01,9209944,1,0.010799306332009642
2014-12-08,9209944,3,0.03205421810029911
2014-12-15,9209944,1,0.010799306332009642
2014-12-22,9209944,2,0.021483232562464424
2014-12-29,18419888,1,0.010799306332009642
2015-01-05,9209944,2,0.021483232562464424
2015-01-12,9209944,1,0.010799306332009642
2015-01-19,9209944,1,0.010799306332009642
2015-01-26,9209944,1,0.010799306332009642
2015-02-02,9209944,2,0.021483232562464424
2015-02-09,9209944,0,0.0
2015-02-16,9209944,1,0.010799306332009642
2015-02-23,9209944,2,0.021483232562464424
2015-03-02,9209944,1,0.010799306332009642
2015-03-09,9209944,0,0.0
2015-03-16,9209944,3,0.03205421810029911
2015-03-23,9209944,6,0.0631127951989424
2015-03-30,9209944,13,0.13203808671458173
2015-04-06,9209944,11,0.11282509649304898
2015-04-13,9209944,3,0.03205421810029911
2015-04-20,9209944,4,0.042514625800673465
2015-04-27,9209944,5,0.052866745135063765
2015-05-04,9209944,8,0.0832952290046044
2015-05-11,9209944,9,0.09323572404553018
2015-05-18,9209944,3,0.03205421810029911
2015-05-25,9209944,8,0.0832952290046044
2015-06-01,9209944,4,0.042514625800673465
2015-06-08,9209944,4,0.042514625800673465
2015-06-15,9209944,8,0.0832952290046044
2015-06-22,9209944,3,0.03205421810029911
2015-06-29,9209944,1,0.010799306332009642
2015-07-06,9209944,5,0.052866745135063765
2015-07-13,9209944,1,0.010799306332009642
2015-07-20,9209944,12,0.12247773326828318
2015-07-27,9209944,4,0.042514625800673465
2015-08-03,9209944,9,0.09323572404553018
2015-08-10,9209944,6,0.0631127951989424
2015-08-17,9209944,6,0.0631127951989424
2015-08-24,9209944,9,0.09323572404553018
2015-08-31,9209944,5,0.052866745135063765
2015-09-07,9209944,3,0.03205421810029911
2015-09-14,9209944,8,0.0832952290046044
2015-09-21,9209944,8,0.0832952290046044
2015-09-28,9209944,4,0.042514625800673465
2015-10-05,9209944,3,0.03205421810029911
2015-10-12,9209944,8,0.0832952290046044
2015-10-19,9209944,5,0.052866745135063765
2015-10-26,9209944,11,0.11282509649304898
2015-11-02,9209944,10,0.10307837744144575
2015-11-09,9209944,6,0.0631127951989424
2015-11-16,9209944,7,0.07325492756692932
2015-11-23,9209944,3,0.03205421810029911
2015-11-30,9209944,7,0.07325492756692932
2015-12-07,9209944,9,0.09323572404553018
2015-12-14,9209944,3,0.03205421810029911
2015-12-21,9209944,1,0.010799306332009642
2016-01-04,9209944,7,0.07325492756692932
2016-01-11,9209944,10,0.10307837744144575
2016-01-18,9209944,8,0.0832952290046044
2016-01-25,9209944,4,0.042514625800673465
2016-02-01,9209944,0,0.0
2016-02-08,9209944,5,0.052866745135063765
2016-02-15,9209944,10,0.10307837744144575
2016-02-22,9209944,2,0.021483232562464424
2016-02-29,9209944,8,0.0832952290046044
2016-03-07,9209944,5,0.052866745135063765
2016-03-14,9209944,6,0.0631127951989424
2016-03-21,9209944,0,0.0
2016-03-28,9209944,7,0.07325492756692932
2016-04-04,9209944,2,0.021483232562464424
2016-04-11,9209944,5,0.052866745135063765
2016-04-18,9209944,4,0.042514625800673465
2016-04-25,9209944,2,0.021483232562464424
2016-05-02,9209944,0,0.0
2016-05-09,9209944,4,0.042514625800673465
2016-05-16,9209944,4,0.042514625800673465
2016-05-23,9209944,7,0.07325492756692932
2016-05-30,9209944,6,0.0631127951989424
2016-06-06,9209944,5,0.052866745135063765
2016-06-13,9209944,9,0.09323572404553018
2016-06-20,9209944,4,0.042514625800673465
2016-06-27,9209944,5,0.052866745135063765
2016-07-04,9209944,11,0.11282509649304898
2016-07-11,9209944,7,0.07325492756692932
2016-07-18,9209944,6,0.0631127951989424
2016-07-25,9209944,5,0.052866745135063765
2016-08-01,9209944,12,0.12247773326828318
2016-08-08,9209944,3,0.03205421810029911
2016-08-15,9209944,12,0.12247773326828318
2016-08-22,9209944,5,0.052866745135063765
2016-08-29,9209944,6,0.0631127951989424
2016-09-05,9209944,9,0.09323572404553018
2016-09-12,9209944,6,0.0631127951989424
2016-09-19,9209944,5,0.052866745135063765
2016-09-26,9209944,2,0.021483232562464424
2016-10-03,9209944,6,0.0631127951989424
2016-10-10,9209944,4,0.042514625800673465
2016-10-17,9209944,2,0.021483232562464424
2016-10-24,9209944,2,0.021483232562464424
2016-10-31,9209944,4,0.042514625800673465
2016-11-07,9209944,3,0.03205421810029911
2016-11-14,9209944,6,0.0631127951989424
2016-11-21,9209944,0,0.0
2016-11-28,9209944,7,0.07325492756692932
2016-12-05,9209944,4,0.042514625800673465
2016-12-12,9209944,3,0.03205421810029911
2016-12-19,9209944,3,0.03205421810029911
2016-12-26,9209944,6,0.0631127951989424
2017-01-02,9209944,5,0.052866745135063765
2017-01-09,9209944,1,0.010799306332009642
2017-01-16,9209944,7,0.07325492756692932
2017-01-23,9209944,3,0.03205421810029911
2017-01-30,9209944,4,0.042514625800673465
2017-02-06,9209944,6,0.0631127951989424
2017-02-13,9209944,4,0.042514625800673465
2017-02-20,9209944,4,0.042514625800673465
2017-02-27,9209944,4,0.042514625800673465
2017-03-06,9209944,4,0.042514625800673465
2017-03-13,9209944,4,0.042514625800673465
2017-03-20,9209944,5,0.052866745135063765
2017-03-27,9209944,4,0.042514625800673465
2017-04-03,9209944,5,0.052866745135063765
2017-04-10,9209944,4,0.042514625800673465
2017-04-17,9209944,3,0.03205421810029911
2017-04-24,9209944,2,0.021483232562464424
2017-05-01,9209944,2,0.021483232562464424
2017-05-08,9209944,2,0.021483232562464424
2017-05-15,9209944,6,0.0631127951989424
2017-05-22,9209944,3,0.03205421810029911
2017-05-29,9209944,5,0.052866745135063765
2017-06-05,9209944,8,0.0832952290046044
2017-06-12,9209944,3,0.03205421810029911
2017-06-19,9209944,2,0.021483232562464424
2017-06-26,9209944,5,0.052866745135063765
2017-07-03,9209944,5,0.052866745135063765
2017-07-10,9209944,4,0.042514625800673465
2017-07-17,9209944,5,0.052866745135063765
2017-07-24,9209944,3,0.03205421810029911
2017-07-31,9209944,5,0.052866745135063765
2017-08-07,9209944,9,0.09323572404553018
2017-08-14,9209944,20,0.19651747163061242
2017-08-21,9209944,31,0.29012362113769813
2017-08-28,9209944,5,0.052866745135063765
2017-09-04,9209944,5,0.052866745135063765
2017-09-11,9209944,0,0.0
2017-09-18,9209944,4,0.042514625800673465
2017-09-25,9209944,3,0.03205421810029911
2017-10-02,9209944,1,0.010799306332009642
2017-10-09,9209944,6,0.0631127951989424
2017-10-16,9209944,6,0.0631127951989424
2017-10-23,9209944,6,0.0631127951989424
2017-10-30,9209944,3,0.03205421810029911
2017-11-06,9209944,1,0.010799306332009642
2017-11-13,9209944,2,0.021483232562464424
2017-11-20,9209944,4,0.042514625800673465
2017-11-27,9209944,3,0.03205421810029911
2017-12-04,9209944,5,0.052866745135063765
2017-12-11,9209944,3,0.03205421810029911
2017-12-18,9209944,4,0.042514625800673465
2017-12-25,9209944,4,0.042514625800673465
2018-01-01,9209944,6,0.0631127951989424
2018-01-08,9209944,4,0.042514625800673465
2018-01-15,9209944,3,0.03205421810029911
2018-01-22,9209944,1,0.010799306332009642
2018-01-29,9209944,6,0.0631127951989424
2018-02-05,9209944,7,0.07325492756692932
2018-02-12,9209944,8,0.0832952290046044
2018-02-19,9209944,8,0.0832952290046044
2018-02-26,9209944,3,0.03205421810029911
2018-03-05,9209944,12,0.12247773326828318
2018-03-12,9209944,6,0.0631127951989424
2018-03-19,9209944,2,0.021483232562464424
2018-03-26,9209944,3,0.03205421810029911
2018-04-02,9209944,4,0.042514625800673465
2018-04-09,9209944,11,0.11282509649304898
2018-04-16,9209944,7,0.07325492756692932
2018-04-23,9209944,7,0.07325492756692932
2018-04-30,9209944,6,0.0631127951989424
2018-05-07,9209944,3,0.03205421810029911
2018-05-14,9209944,5,0.052866745135063765
2018-05-21,9209944,2,0.021483232562464424
2018-05-28,9209944,8,0.0832952290046044
2018-06-04,9209944,6,0.0631127951989424
2018-06-11,9209944,12,0.12247773326828318
2018-06-18,9209944,3,0.03205421810029911
2018-06-25,9209944,2,0.021483232562464424
2018-07-02,9209944,3,0.03205421810029911
2018-07-09,9209944,7,0.07325492756692932
2018-07-16,9209944,7,0.07325492756692932
2018-07-23,9209944,3,0.03205421810029911
2018-07-30,9209944,7,0.07325492756692932
2018-08-06,9209944,6,0.0631127951989424
2018-08-13,9209944,8,0.0832952290046044
2018-08-20,9209944,13,0.13203808671458173
2018-08-27,9209944,21,0.20539856884402075
2018-09-03,9209944,23,0.2229275874861821
2018-09-10,9209944,19,0.1875567932335032
2018-09-17,9209944,22,0.2142014859851983
2018-09-24,9209944,20,0.19651747163061242
2018-10-01,9209944,18,0.17851509453517647
2018-10-08,9209944,24,0.23157820236880647
2018-10-15,9209944,23,0.2229275874861821
2018-10-22,9209944,21,0.20539856884402075
2018-10-29,9209944,8,0.0832952290046044
2018-11-05,9209944,9,0.09323572404553018
2018-11-12,9209944,32,0.2982143168151254
2018-11-19,9209944,20,0.19651747163061242
2018-11-26,9209944,26,0.24865811855246264
2018-12-03,9209944,25,0.24015462545950547
2018-12-10,9209944,22,0.2142014859851983
2018-12-17,9209944,20,0.19651747163061242
2018-12-24,9209944,6,0.0631127951989424
2018-12-31,9209944,19,0.1875567932335032
2019-01-07,9209944,7,0.07325492756692932
2019-01-14,9209944,21,0.20539856884402075
2019-01-21,9209944,35,0.322100909310831
2019-01-28,9209944,36,0.32993797441310635
2019-02-04,9209944,19,0.1875567932335032
2019-02-11,9209944,21,0.20539856884402075
2019-02-18,9209944,21,0.20539856884402075
2019-02-25,9209944,39,0.3530872563167674
2019-03-04,9209944,22,0.2142014859851983
2019-03-11,9209944,26,0.24865811855246264
2019-03-18,9209944,20,0.19651747163061242
2019-03-25,9209944,2,0.021483232562464424
2019-04-01,9209944,36,0.32993797441310635
2019-04-08,9209944,29,0.2737431633755706
2019-04-15,9209944,11,0.11282509649304898
2019-04-22,9209944,35,0.322100909310831
2019-04-29,9209944,23,0.2229275874861821
2019-05-06,9209944,24,0.23157820236880647
2019-05-13,9209944,23,0.2229275874861821
2019-05-20,9209944,27,0.2570899115237227
2019-05-27,9209944,10,0.10307837744144575
2019-06-03,9209944,7,0.07325492756692932
2019-06-10,9209944,5,0.052866745135063765
2019-06-17,9209944,4,0.042514625800673465
2019-06-24,9209944,3,0.03205421810029911
2019-07-01,9209944,4,0.042514625800673465
2019-07-08,9209944,25,0.24015462545950547
2019-07-15,9209944,3,0.03205421810029911
2019-07-22,9209944,5,0.052866745135063765
2019-07-29,9209944,6,0.0631127951989424
2019-08-05,9209944,6,0.0631127951989424
2019-08-12,9209944,6,0.0631127951989424
2019-08-19,9209944,8,0.0832952290046044
2019-08-26,9209944,7,0.07325492756692932
2019-09-02,9209944,2,0.021483232562464424
2019-09-09,9209944,2,0.021483232562464424
2019-09-16,9209944,2,0.021483232562464424
2019-09-23,9209944,5,0.052866745135063765
2019-09-30,9209944,7,0.07325492756692932
2019-10-07,9209944,4,0.042514625800673465
2019-10-14,9209944,8,0.0832952290046044
2019-10-21,9209944,6,0.0631127951989424
2019-10-28,9209944,7,0.07325492756692932
2019-11-04,9209944,5,0.052866745135063765
2019-11-11,9209944,5,0.052866745135063765
2019-11-18,9209944,1,0.010799306332009642
2019-11-25,9209944,9,0.09323572404553018
2019-12-02,9209944,6,0.0631127951989424
2019-12-09,9209944,4,0.042514625800673465
2019-12-16,9209944,6,0.0631127951989424
2019-12-23,9209944,1,0.010799306332009642
2019-12-30,9209944,3,0.03205421810029911
2020-01-06,9209944,9,0.09323572404553018
2020-01-13,9209944,5,0.052866745135063765
2020-01-20,9209944,7,0.07325492756692932
2020-01-27,9209944,3,0.03205421810029911
2020-02-03,9209944,5,0.052866745135063765
2020-02-10,9209944,16,0.16018268134788785
2020-02-17,9209944,3,0.03205421810029911
2020-02-24,9209944,11,0.11282509649304898
2020-03-02,9209944,3,0.03205421810029911
2020-03-09,9209944,10,0.10307837744144575
2020-03-16,9209944,5,0.052866745135063765
2020-03-23,9209944,4,0.042514625800673465
2020-03-30,9209944,2,0.021483232562464424
2020-04-06,9209944,0,0.0
2020-04-13,9209944,3,0.03205421810029911
2020-04-20,9209944,5,0.052866745135063765
2020-04-27,9209944,1,0.010799306332009642
2020-05-04,9209944,1,0.010799306332009642
2020-05-11,9209944,1,0.010799306332009642
2020-05-18,9209944,1,0.010799306332009642
2020-05-25,9209944,2,0.021483232562464424
2020-06-01,9209944,1,0.010799306332009642
2020-06-08,9209944,1,0.010799306332009642
2020-06-15,9209944,1,0.010799306332009642
2020-06-22,9209944,1,0.010799306332009642
2020-06-29,9209944,0,0.0
2020-07-06,9209944,1,0.010799306332009642
2020-07-13,9209944,0,0.0
2020-07-20,9209944,1,0.010799306332009642
2020-07-27,9209944,2,0.021483232562464424
2020-08-03,9209944,2,0.021483232562464424
2020-08-10,9209944,0,0.0
2020-08-17,9209944,3,0.03205421810029911
2020-08-24,9209944,1,0.010799306332009642
2020-08-31,9209944,2,0.021483232562464424
2020-09-07,9209944,1,0.010799306332009642
2020-09-14,9209944,2,0.021483232562464424
2020-09-21,9209944,1,0.010799306332009642
2020-09-28,9209944,5,0.052866745135063765
2020-10-05,9209944,0,0.0
2020-10-12,9209944,3,0.03205421810029911
2020-10-19,9209944,3,0.03205421810029911
2020-10-26,9209944,3,0.03205421810029911
