ds,Total,y_original,y
2013-12-30,1971520,0,0.0
2014-01-06,1971520,5,0.22602852713973506
2014-01-13,1971520,6,0.26569234492025434
2014-01-20,1971520,2,0.09662256432960475
2014-01-27,1971520,3,0.14164439208905796
2014-02-03,1971520,3,0.14164439208905796
2014-02-10,1971520,3,0.14164439208905796
2014-02-17,1971520,2,0.09662256432960475
2014-02-24,1971520,5,0.22602852713973506
2014-03-03,1971520,7,0.30384277997444104
2014-03-10,1971520,3,0.14164439208905796
2014-03-17,1971520,3,0.14164439208905796
2014-03-24,1971520,3,0.14164439208905796
2014-03-31,1971520,5,0.22602852713973506
2014-04-07,1971520,3,0.14164439208905796
2014-04-14,1971520,3,0.14164439208905796
2014-04-21,1971520,2,0.09662256432960475
2014-04-28,1971520,3,0.14164439208905796
2014-05-05,1971520,4,0.18472628093678817
2014-05-12,1971520,3,0.14164439208905796
2014-05-19,1971520,1,0.04947781848413125
2014-05-26,1971520,5,0.22602852713973506
2014-06-02,1971520,1,0.04947781848413125
2014-06-09,1971520,9,0.37603668745476043
2014-06-16,1971520,5,0.22602852713973506
2014-06-23,1971520,7,0.30384277997444104
2014-06-30,1971520,7,0.30384277997444104
2014-07-07,1971520,0,0.0
2014-07-14,1971520,2,0.09662256432960475
2014-07-21,1971520,8,0.3405910873164741
2014-07-28,1971520,6,0.26569234492025434
2014-08-04,1971520,3,0.14164439208905796
2014-08-11,1971520,5,0.22602852713973506
2014-08-18,1971520,6,0.26569234492025434
2014-08-25,1971520,10,0.41026878756529633
2014-09-01,1971520,0,0.0
2014-09-08,1971520,12,0.47540614939213777
2014-09-15,1971520,4,0.18472628093678817
2014-09-22,1971520,6,0.26569234492025434
2014-09-29,1971520,0,0.0
2014-10-06,1971520,0,0.0
2014-10-13,1971520,0,0.0
2014-10-20,1971520,0,0.0
2014-10-27,1971520,0,0.0
2014-11-03,1971520,0,0.0
2014-11-10,1971520,3,0.14164439208905796
2014-11-17,1971520,0,0.0
2014-11-24,1971520,1,0.04947781848413125
2014-12-01,1971520,0,0.0
2014-12-08,1971520,1,0.04947781848413125
2014-12-15,1971520,0,0.0
2014-12-22,1971520,0,0.0
2014-12-29,3943040,2,0.09662256432960475
2015-01-05,1971520,5,0.22602852713973506
2015-01-12,1971520,0,0.0
