padecimiento,sexo,rmse,mae,mape,mase,mape_confiable,seasonality_mode,changepoint_prior_scale,seasonality_prior_scale,nivel,confianza,promedio_semanal,tiempo_cv_seg,tiempo_train_seg,tiempo_total_seg,poblacion,normalizado,archivo_modelo,usar_regional,Entidad
Parkinson,incrementos_hombres,0.017361600221838868,0.013916143443839912,26.29678278866353,0.7380588321105176,True,additive,0.05,0.1,nacional,normal,76.74,82.1,1.5,83.6,126014024,True,Prophet_Parkinson_hombres.pkl,,
Parkinson,incrementos_mujeres,0.019716143587452432,0.016221555826462824,35.23277780441424,0.8910133587970778,True,multiplicative,0.03,0.1,nacional,normal,68.41,84.6,1.2,85.8,126014024,True,Prophet_Parkinson_mujeres.pkl,,
Parkinson,incrementos_total,0.033049667416217614,0.02668443497869328,27.77085163881602,0.7956195866511252,True,additive,0.05,0.1,nacional,normal,145.15,84.2,1.0,85.2,126014024,True,Prophet_Parkinson_general.pkl,,
Parkinson,incrementos_hombres,0.05984051217915857,0.049209667264141554,999.0,0.8562145543502729,False,multiplicative,0.05,0.1,regional,normal,0.7,77.5,1.4,79.0,1425607,True,Prophet_Parkinson_Aguascalientes_hombres.pkl,,Aguascalientes
Parkinson,incrementos_mujeres,0.0484510756779014,0.04162438066268122,999.0,0.8243690815128681,False,multiplicative,0.03,0.1,regional,normal,0.61,76.1,1.0,77.1,1425607,True,Prophet_Parkinson_Aguascalientes_mujeres.pkl,,Aguascalientes
Parkinson,incrementos_total,0.07604630119740467,0.05968415897998726,999.0,0.7359634513216088,False,multiplicative,0.05,0.1,regional,normal,1.31,78.4,1.6,80.0,1425607,True,Prophet_Parkinson_Aguascalientes_general.pkl,,Aguascalientes
Parkinson,incrementos_hombres,0.03766492444022862,0.031618275415810644,999.0,0.645601556957193,False,multiplicative,0.04,0.1,regional,normal,2.1,75.9,1.1,77.1,3769020,True,Prophet_Parkinson_Baja_California_hombres.pkl,,Baja California
Parkinson,incrementos_mujeres,0.04724596635838366,0.03274001041782317,999.0,0.6740407669514304,False,multiplicative,0.03,0.1,regional,normal,1.98,71.6,2.1,73.7,3769020,True,Prophet_Parkinson_Baja_California_mujeres.pkl,,Baja California
Parkinson,incrementos_total,0.06098056226567388,0.046564061881853025,867.3519608307679,0.627185573452199,True,additive,0.05,0.1,regional,normal,4.08,74.2,0.9,75.1,3769020,True,Prophet_Parkinson_Baja_California_general.pkl,,Baja California
Parkinson,incrementos_hombres,0.09222469693552819,0.07838110572408705,999.0,0.9584288539815706,False,multiplicative,0.03,1.0,regional,normal,0.54,71.4,1.3,72.7,798447,True,Prophet_Parkinson_Baja_California_Sur_hombres.pkl,,Baja California Sur
