ds,Total,y_original,y
2013-12-30,126014024,11,0.008691308079652989
2014-01-06,126014024,89,0.06824451395295232
2014-01-13,126014024,127,0.0960212301742872
2014-01-20,126014024,114,0.08660523919234143
2014-01-27,126014024,169,0.12585001633376341
2014-02-03,126014024,120,0.0909621008371066
2014-02-10,126014024,118,0.08951192173820421
2014-02-17,126014024,120,0.0909621008371066
2014-02-24,126014024,105,0.08003414692915206
2014-03-03,126014024,120,0.0909621008371066
2014-03-10,126014024,126,0.09530006255308773
2014-03-17,126014024,104,0.07930135302828563
2014-03-24,126014024,133,0.10033734817575904
2014-03-31,126014024,116,0.08805963656532884
2014-04-07,126014024,103,0.07856802174670467
2014-04-14,126014024,80,0.06155124884597973
2014-04-21,126014024,138,0.103919937158642
2014-04-28,126014024,129,0.0974620070413082
2014-05-05,126014024,128,0.09674187808752283
2014-05-12,126014024,89,0.06824451395295232
2014-05-19,126014024,105,0.08003414692915206
2014-05-26,126014024,123,0.09313343393223401
2014-06-02,126014024,139,0.10463491733295738
2014-06-09,126014024,118,0.08951192173820421
2014-06-16,126014024,132,0.09961928760688767
2014-06-23,126014024,123,0.09313343393223401
2014-06-30,126014024,117,0.08878604279327128
2014-07-07,126014024,128,0.09674187808752283
2014-07-14,126014024,107,0.08149812573502169
2014-07-21,126014024,103,0.07856802174670467
2014-07-28,126014024,113,0.08587724650907202
2014-08-04,126014024,122,0.09241017996156166
2014-08-11,126014024,117,0.08878604279327128
2014-08-18,126014024,130,0.09818161778254099
2014-08-25,126014024,113,0.08587724650907202
2014-09-01,126014024,74,0.05706405304708604
2014-09-08,126014024,140,0.10534938667583571
2014-09-15,126014024,73,0.05631422560722608
2014-09-22,126014024,114,0.08660523919234143
2014-09-29,126014024,86,0.06601839963115369
2014-10-06,126014024,112,0.08514872346633445
2014-10-13,126014024,80,0.06155124884597973
2014-10-20,126014024,91,0.06972584182280532
2014-10-27,126014024,82,0.06304251747769792
2014-11-03,126014024,84,0.06453156553834125
2014-11-10,126014024,104,0.07930135302828563
2014-11-17,126014024,62,0.0480288011405058
2014-11-24,126014024,85,0.06527525891917446
2014-12-01,126014024,76,0.05856202330823689
2014-12-08,126014024,62,0.0480288011405058
2014-12-15,126014024,61,0.04727216554676199
2014-12-22,126014024,44,0.034320987376947255
2014-12-29,252028048,110,0.08369008320747572
2015-01-05,126014024,92,0.07046568369493976
2015-01-12,126014024,60,0.04651495702206915
2015-01-19,126014024,83,0.06378731866600984
2015-01-26,126014024,53,0.04119838209460518
2015-02-02,126014024,80,0.06155124884597973
2015-02-09,126014024,83,0.06378731866600984
2015-02-16,126014024,72,0.05556383550424992
2015-02-23,126014024,80,0.06155124884597973
2015-03-02,126014024,107,0.08149812573502169
2015-03-09,126014024,66,0.05104963150346259
2015-03-16,126014024,87,0.0667609884950905
2015-03-23,126014024,108,0.0822293122088511
2015-03-30,126014024,126,0.09530006255308773
2015-04-06,126014024,153,0.11459133224339793
2015-04-13,126014024,154,0.1152987258315293
2015-04-20,126014024,136,0.10248844139016423
2015-04-27,126014024,167,0.12444959341250741
