ds,Total,y_original,y
2013-12-30,126014024,5,0.003959961337736795
2014-01-06,126014024,48,0.03738344805591792
2014-01-13,126014024,78,0.060057753010356894
2014-01-20,126014024,60,0.04651495702206915
2014-01-27,126014024,56,0.04348037621785991
2014-02-03,126014024,55,0.042720289974112716
2014-02-10,126014024,55,0.042720289974112716
2014-02-17,126014024,71,0.054812881893089686
2014-02-24,126014024,61,0.04727216554676199
2014-03-03,126014024,65,0.05029527898967602
2014-03-10,126014024,67,0.05180341539844619
2014-03-17,126014024,44,0.034320987376947255
2014-03-24,126014024,58,0.044998817704605024
2014-03-31,126014024,59,0.04575717469811331
2014-04-07,126014024,55,0.042720289974112716
2014-04-14,126014024,41,0.032017971368497704
2014-04-21,126014024,80,0.06155124884597973
2014-04-28,126014024,67,0.05180341539844619
2014-05-05,126014024,69,0.05330928075641352
2014-05-12,126014024,46,0.035853390049150745
2014-05-19,126014024,54,0.04195962555978023
2014-05-26,126014024,64,0.04954035699856071
2014-06-02,126014024,74,0.05706405304708604
2014-06-09,126014024,61,0.04727216554676199
2014-06-16,126014024,67,0.05180341539844619
2014-06-23,126014024,55,0.042720289974112716
2014-06-30,126014024,57,0.044239885169273366
2014-07-07,126014024,78,0.060057753010356894
2014-07-14,126014024,73,0.05631422560722608
2014-07-21,126014024,55,0.042720289974112716
2014-07-28,126014024,61,0.04727216554676199
2014-08-04,126014024,69,0.05330928075641352
2014-08-11,126014024,60,0.04651495702206915
2014-08-18,126014024,72,0.05556383550424992
2014-08-25,126014024,58,0.044998817704605024
2014-09-01,126014024,40,0.031249119215145033
2014-09-08,126014024,75,0.05781331866699815
2014-09-15,126014024,40,0.031249119215145033
2014-09-22,126014024,65,0.05029527898967602
2014-09-29,126014024,49,0.038147600049792646
2014-10-06,126014024,52,0.04043655869631856
2014-10-13,126014024,47,0.0366187116871938
2014-10-20,126014024,37,0.02893900957758173
2014-10-27,126014024,51,0.03967415448063336
2014-11-03,126014024,42,0.032786232842332806
2014-11-10,126014024,56,0.04348037621785991
2014-11-17,126014024,33,0.025850538494673593
2014-11-24,126014024,45,0.035087482245264
2014-12-01,126014024,32,0.02507692800435437
2014-12-08,126014024,30,0.023527909285899883
2014-12-15,126014024,30,0.023527909285899883
2014-12-22,126014024,20,0.01574661807286734
2014-12-29,252028048,61,0.04727216554676199
2015-01-05,126014024,53,0.04119838209460518
2015-01-12,126014024,33,0.025850538494673593
2015-01-19,126014024,39,0.03047967547328538
2015-01-26,126014024,21,0.016527477536421125
2015-02-02,126014024,45,0.035087482245264
2015-02-09,126014024,36,0.02816778559523368
2015-02-16,126014024,33,0.025850538494673593
2015-02-23,126014024,40,0.031249119215145033
2015-03-02,126014024,52,0.04043655869631856
2015-03-09,126014024,29,0.022752499199358952
2015-03-16,126014024,38,0.02970963923182949
2015-03-23,126014024,64,0.04954035699856071
2015-03-30,126014024,69,0.05330928075641352
2015-04-06,126014024,77,0.05931016781018855
2015-04-13,126014024,73,0.05631422560722608
2015-04-20,126014024,70,0.05406136392677225
2015-04-27,126014024,94,0.0719437273632754
2015-05-04,126014024,71,0.054812881893089686
2015-05-11,126014024,97,0.0741567047711437
2015-05-18,126014024,68,0.052556631531212615
2015-05-25,126014024,85,0.06527525891917446
2015-06-01,126014024,75,0.05781331866699815
2015-06-08,126014024,78,0.060057753010356894
2015-06-15,126014024,80,0.06155124884597973
2015-06-22,126014024,73,0.05631422560722608
2015-06-29,126014024,69,0.05330928075641352
2015-07-06,126014024,92,0.07046568369493976
2015-07-13,126014024,65,0.05029527898967602
2015-07-20,126014024,87,0.0667609884950905
2015-07-27,126014024,89,0.06824451395295232
2015-08-03,126014024,106,0.08076640423630595
2015-08-10,126014024,108,0.0822293122088511
2015-08-17,126014024,103,0.07856802174670467
2015-08-24,126014024,104,0.07930135302828563
2015-08-31,126014024,82,0.06304251747769792
2015-09-07,126014024,65,0.05029527898967602
2015-09-14,126014024,97,0.0741567047711437
2015-09-21,126014024,109,0.0829599644396285
2015-09-28,126014024,92,0.07046568369493976
2015-10-05,126014024,74,0.05706405304708604
2015-10-12,126014024,71,0.054812881893089686
2015-10-19,126014024,91,0.06972584182280532
2015-10-26,126014024,86,0.06601839963115369
2015-11-02,126014024,100,0.07636479572163425
2015-11-09,126014024,70,0.05406136392677225
2015-11-16,126014024,86,0.06601839963115369
2015-11-23,126014024,100,0.07636479572163425
2015-11-30,126014024,86,0.06601839963115369
2015-12-07,126014024,70,0.05406136392677225
2015-12-14,126014024,41,0.032017971368497704
2015-12-21,126014024,47,0.0366187116871938
2016-01-04,126014024,80,0.06155124884597973
2016-01-11,126014024,112,0.08514872346633445
2016-01-18,126014024,66,0.05104963150346259
2016-01-25,126014024,95,0.07268193077395514
2016-02-01,126014024,80,0.06155124884597973
2016-02-08,126014024,90,0.068985452179386
2016-02-15,126014024,89,0.06824451395295232
2016-02-22,126014024,81,0.06229716114707956
2016-02-29,126014024,78,0.060057753010356894
2016-03-07,126014024,81,0.06229716114707956
2016-03-14,126014024,98,0.07489327696144026
2016-03-21,126014024,34,0.02662355097439956
2016-03-28,126014024,82,0.06304251747769792
2016-04-04,126014024,94,0.0719437273632754
2016-04-11,126014024,96,0.07341958964231762
2016-04-18,126014024,77,0.05931016781018855
2016-04-25,126014024,82,0.06304251747769792
2016-05-02,126014024,90,0.068985452179386
2016-05-09,126014024,63,0.04878486466964506
2016-05-16,126014024,63,0.04878486466964506
2016-05-23,126014024,79,0.06080477974436878
2016-05-30,126014024,90,0.068985452179386
2016-06-06,126014024,77,0.05931016781018855
2016-06-13,126014024,79,0.06080477974436878
2016-06-20,126014024,99,0.07562930701244554
2016-06-27,126014024,76,0.05856202330823689
2016-07-04,126014024,86,0.06601839963115369
2016-07-11,126014024,89,0.06824451395295232
2016-07-18,126014024,71,0.054812881893089686
2016-07-25,126014024,83,0.06378731866600984
2016-08-01,126014024,78,0.060057753010356894
2016-08-08,126014024,73,0.05631422560722608
2016-08-15,126014024,88,0.0675030263299692
2016-08-22,126014024,93,0.07120497860571842
