ds,Total,y_original,y
2013-12-30,39896587,4,0.009975994149904584
2014-01-06,39896587,43,0.1023567875176371
2014-01-13,39896587,56,0.13134653076438466
2014-01-20,39896587,39,0.09326511058182113
2014-01-27,39896587,60,0.1400999756133394
2014-02-03,39896587,55,0.1291461446199314
2014-02-10,39896587,59,0.13791878730271298
2014-02-17,39896587,49,0.11584117209310617
2014-02-24,39896587,54,0.12694090609722541
2014-03-03,39896587,47,0.11136655004413563
2014-03-10,39896587,58,0.13573283100787426
2014-03-17,39896587,48,0.11360636384684308
2014-03-24,39896587,50,0.1180709971059734
2014-03-31,39896587,57,0.13354208583792976
2014-04-07,39896587,45,0.10687181572416417
2014-04-14,39896587,33,0.0794707061093607
2014-04-21,39896587,63,0.14661513950992233
2014-04-28,39896587,58,0.13573283100787426
2014-05-05,39896587,57,0.13354208583792976
2014-05-12,39896587,35,0.08409001607098922
2014-05-19,39896587,53,0.12473079374764713
2014-05-26,39896587,47,0.11136655004413563
2014-06-02,39896587,49,0.11584117209310617
2014-06-09,39896587,52,0.12251578598005018
2014-06-16,39896587,56,0.13134653076438466
2014-06-23,39896587,49,0.11584117209310617
2014-06-30,39896587,46,0.10912170821160003
2014-07-07,39896587,52,0.12251578598005018
2014-07-14,39896587,37,0.08868808608440597
2014-07-21,39896587,44,0.10461684980369944
2014-07-28,39896587,51,0.12029586105949584
2014-08-04,39896587,56,0.13134653076438466
2014-08-11,39896587,65,0.1509351191023049
2014-08-18,39896587,61,0.14227641669424337
2014-08-25,39896587,47,0.11136655004413563
2014-09-01,39896587,28,0.06782820590759386
2014-09-08,39896587,53,0.12473079374764713
2014-09-15,39896587,26,0.06313298543328405
2014-09-22,39896587,34,0.08178302834086876
2014-09-29,39896587,28,0.06782820590759386
2014-10-06,39896587,31,0.07482995906036376
2014-10-13,39896587,39,0.09326511058182113
2014-10-20,39896587,44,0.10461684980369944
2014-10-27,39896587,33,0.0794707061093607
2014-11-03,39896587,23,0.05604855960396788
2014-11-10,39896587,33,0.0794707061093607
2014-11-17,39896587,20,0.04891358637308483
2014-11-24,39896587,28,0.06782820590759386
2014-12-01,39896587,25,0.060777082324929885
2014-12-08,39896587,20,0.04891358637308483
2014-12-15,39896587,27,0.06548335130482057
2014-12-22,39896587,16,0.03932040150077954
2014-12-29,79793174,40,0.09554579079407682
2015-01-05,39896587,20,0.04891358637308483
2015-01-12,39896587,17,0.04172733924220957
2015-01-19,39896587,22,0.05367588712842158
2015-01-26,39896587,16,0.03932040150077954
2015-02-02,39896587,16,0.03932040150077954
2015-02-09,39896587,36,0.08639169385635054
2015-02-16,39896587,25,0.060777082324929885
2015-02-23,39896587,23,0.05604855960396788
2015-03-02,39896587,55,0.1291461446199314
2015-03-09,39896587,28,0.06782820590759386
2015-03-16,39896587,50,0.1180709971059734
2015-03-23,39896587,32,0.07715302464909309
2015-03-30,39896587,49,0.11584117209310617
2015-04-06,39896587,56,0.13134653076438466
2015-04-13,39896587,53,0.12473079374764713
2015-04-20,39896587,59,0.13791878730271298
2015-04-27,39896587,50,0.1180709971059734
2015-05-04,39896587,44,0.10461684980369944
2015-05-11,39896587,53,0.12473079374764713
2015-05-18,39896587,52,0.12251578598005018
2015-05-25,39896587,56,0.13134653076438466
2015-06-01,39896587,51,0.12029586105949584
2015-06-08,39896587,52,0.12251578598005018
2015-06-15,39896587,57,0.13354208583792976
2015-06-22,39896587,53,0.12473079374764713
2015-06-29,39896587,52,0.12251578598005018
2015-07-06,39896587,59,0.13791878730271298
2015-07-13,39896587,65,0.1509351191023049
2015-07-20,39896587,48,0.11360636384684308
2015-07-27,39896587,54,0.12694090609722541
2015-08-03,39896587,70,0.16165411955917897
2015-08-10,39896587,148,0.31551053121007977
2015-08-17,39896587,108,0.23956780938692443
2015-08-24,39896587,85,0.19313851331720894
2015-08-31,39896587,61,0.14227641669424337
2015-09-07,39896587,36,0.08639169385635054
2015-09-14,39896587,47,0.11136655004413563
2015-09-21,39896587,54,0.12694090609722541
2015-09-28,39896587,65,0.1509351191023049
2015-10-05,39896587,57,0.13354208583792976
2015-10-12,39896587,63,0.14661513950992233
2015-10-19,39896587,54,0.12694090609722541
2015-10-26,39896587,57,0.13354208583792976
2015-11-02,39896587,61,0.14227641669424337
2015-11-09,39896587,45,0.10687181572416417
2015-11-16,39896587,55,0.1291461446199314
2015-11-23,39896587,60,0.1400999756133394
2015-11-30,39896587,45,0.10687181572416417
2015-12-07,39896587,50,0.1180709971059734
2015-12-14,39896587,40,0.09554579079407682
2015-12-21,39896587,34,0.08178302834086876
2016-01-04,39896587,56,0.13134653076438466
2016-01-11,39896587,62,0.14444813116469613
2016-01-18,39896587,61,0.14227641669424337
2016-01-25,39896587,70,0.16165411955917897
2016-02-01,39896587,64,0.14877746208225948
2016-02-08,39896587,75,0.17225944049914912
2016-02-15,39896587,71,0.16378420066199428
2016-02-22,39896587,82,0.18692043686319476
2016-02-29,39896587,77,0.1764702755959695
2016-03-07,39896587,67,0.15523651671600347
2016-03-14,39896587,73,0.16803079926498657
2016-03-21,39896587,19,0.046523904089361814
2016-03-28,39896587,82,0.18692043686319476
2016-04-04,39896587,56,0.13134653076438466
2016-04-11,39896587,71,0.16378420066199428
2016-04-18,39896587,67,0.15523651671600347
2016-04-25,39896587,63,0.14661513950992233
2016-05-02,39896587,70,0.16165411955917897
2016-05-09,39896587,48,0.11360636384684308
2016-05-16,39896587,48,0.11360636384684308
2016-05-23,39896587,69,0.15951949152380104
2016-05-30,39896587,64,0.14877746208225948
2016-06-06,39896587,60,0.1400999756133394
2016-06-13,39896587,50,0.1180709971059734
2016-06-20,39896587,84,0.19107011424588902
2016-06-27,39896587,70,0.16165411955917897
2016-07-04,39896587,64,0.14877746208225948
2016-07-11,39896587,57,0.13354208583792976
2016-07-18,39896587,62,0.14444813116469613
2016-07-25,39896587,95,0.21359055134824712
2016-08-01,39896587,106,0.235614968448942
2016-08-08,39896587,45,0.10687181572416417
2016-08-15,39896587,64,0.14877746208225948
2016-08-22,39896587,74,0.1701473550562384
2016-08-29,39896587,63,0.14661513950992233
2016-09-05,39896587,46,0.10912170821160003
2016-09-12,39896587,38,0.09097921697498404
2016-09-19,39896587,55,0.1291461446199314
2016-09-26,39896587,66,0.15308813066005014
2016-10-03,39896587,62,0.14444813116469613
2016-10-10,39896587,54,0.12694090609722541
2016-10-17,39896587,49,0.11584117209310617
2016-10-24,39896587,55,0.1291461446199314
2016-10-31,39896587,52,0.12251578598005018
2016-11-07,39896587,75,0.17225944049914912
2016-11-14,39896587,67,0.15523651671600347
2016-11-21,39896587,46,0.10912170821160003
2016-11-28,39896587,56,0.13134653076438466
2016-12-05,39896587,41,0.09782128133783183
2016-12-12,39896587,37,0.08868808608440597
2016-12-19,39896587,47,0.11136655004413563
2016-12-26,39896587,36,0.08639169385635054
2017-01-02,39896587,60,0.1400999756133394
2017-01-09,39896587,66,0.15308813066005014
2017-01-16,39896587,70,0.16165411955917897
2017-01-23,39896587,65,0.1509351191023049
2017-01-30,39896587,66,0.15308813066005014
2017-02-06,39896587,56,0.13134653076438466
2017-02-13,39896587,73,0.16803079926498657
2017-02-20,39896587,65,0.1509351191023049
2017-02-27,39896587,55,0.1291461446199314
2017-03-06,39896587,67,0.15523651671600347
2017-03-13,39896587,81,0.184839122823159
2017-03-20,39896587,45,0.10687181572416417
2017-03-27,39896587,97,0.21763123948941673
2017-04-03,39896587,62,0.14444813116469613
2017-04-10,39896587,31,0.07482995906036376
2017-04-17,39896587,63,0.14661513950992233
2017-04-24,39896587,80,0.18275346787863428
2017-05-01,39896587,45,0.10687181572416417
2017-05-08,39896587,60,0.1400999756133394
2017-05-15,39896587,62,0.14444813116469613
2017-05-22,39896587,57,0.13354208583792976
2017-05-29,39896587,63,0.14661513950992233
2017-06-05,39896587,80,0.18275346787863428
2017-06-12,39896587,77,0.1764702755959695
2017-06-19,39896587,79,0.18066345388450514
2017-06-26,39896587,66,0.15308813066005014
2017-07-03,39896587,55,0.1291461446199314
2017-07-10,39896587,57,0.13354208583792976
2017-07-17,39896587,54,0.12694090609722541
2017-07-24,39896587,65,0.1509351191023049
2017-07-31,39896587,103,0.2296562549485385
2017-08-07,39896587,109,0.24153838589800614
2017-08-14,39896587,77,0.1764702755959695
2017-08-21,39896587,63,0.14661513950992233
2017-08-28,39896587,60,0.1400999756133394
2017-09-04,39896587,72,0.16590975416175852
2017-09-11,39896587,85,0.19313851331720894
2017-09-18,39896587,76,0.17436707443744845
2017-09-25,39896587,61,0.14227641669424337
2017-10-02,39896587,85,0.19313851331720894
2017-10-09,39896587,67,0.15523651671600347
2017-10-16,39896587,78,0.17856906258164706
2017-10-23,39896587,73,0.16803079926498657
2017-10-30,39896587,53,0.12473079374764713
2017-11-06,39896587,69,0.15951949152380104
2017-11-13,39896587,69,0.15951949152380104
2017-11-20,39896587,63,0.14661513950992233
2017-11-27,39896587,67,0.15523651671600347
2017-12-04,39896587,75,0.17225944049914912
2017-12-11,39896587,72,0.16590975416175852
2017-12-18,39896587,44,0.10461684980369944
2017-12-25,39896587,53,0.12473079374764713
2018-01-01,39896587,54,0.12694090609722541
2018-01-08,39896587,64,0.14877746208225948
2018-01-15,39896587,67,0.15523651671600347
2018-01-22,39896587,58,0.13573283100787426
2018-01-29,39896587,51,0.12029586105949584
2018-02-05,39896587,46,0.10912170821160003
2018-02-12,39896587,80,0.18275346787863428
2018-02-19,39896587,49,0.11584117209310617
2018-02-26,39896587,68,0.1573802971023002
2018-03-05,39896587,69,0.15951949152380104
2018-03-12,39896587,90,0.2034168171539404
2018-03-19,39896587,67,0.15523651671600347
2018-03-26,39896587,44,0.10461684980369944
2018-04-02,39896587,66,0.15308813066005014
2018-04-09,39896587,71,0.16378420066199428
2018-04-16,39896587,78,0.17856906258164706
2018-04-23,39896587,66,0.15308813066005014
2018-04-30,39896587,57,0.13354208583792976
2018-05-07,39896587,60,0.1400999756133394
2018-05-14,39896587,82,0.18692043686319476
2018-05-21,39896587,68,0.1573802971023002
2018-05-28,39896587,83,0.18899742803079506
2018-06-04,39896587,64,0.14877746208225948
2018-06-11,39896587,67,0.15523651671600347
2018-06-18,39896587,69,0.15951949152380104
2018-06-25,39896587,68,0.1573802971023002
2018-07-02,39896587,73,0.16803079926498657
2018-07-09,39896587,65,0.1509351191023049
2018-07-16,39896587,53,0.12473079374764713
2018-07-23,39896587,80,0.18275346787863428
2018-07-30,39896587,52,0.12251578598005018
2018-08-06,39896587,102,0.22766210062775172
2018-08-13,39896587,110,0.24350508687309033
2018-08-20,39896587,86,0.1952026429432083
2018-08-27,39896587,63,0.14661513950992233
2018-09-03,39896587,65,0.1509351191023049
2018-09-10,39896587,72,0.16590975416175852
2018-09-17,39896587,65,0.1509351191023049
2018-09-24,39896587,55,0.1291461446199314
2018-10-01,39896587,44,0.10461684980369944
2018-10-08,39896587,65,0.1509351191023049
2018-10-15,39896587,61,0.14227641669424337
2018-10-22,39896587,57,0.13354208583792976
2018-10-29,39896587,49,0.11584117209310617
2018-11-05,39896587,49,0.11584117209310617
2018-11-12,39896587,66,0.15308813066005014
