ds,Total,y_original,y
2013-12-30,39896587,3,0.007491310133167541
2014-01-06,39896587,24,0.05841561582773547
2014-01-13,39896587,34,0.08178302834086876
2014-01-20,39896587,22,0.05367588712842158
2014-01-27,39896587,23,0.05604855960396788
2014-02-03,39896587,26,0.06313298543328405
2014-02-10,39896587,27,0.06548335130482057
2014-02-17,39896587,31,0.07482995906036376
2014-02-24,39896587,26,0.06313298543328405
2014-03-03,39896587,21,0.05129757168663478
2014-03-10,39896587,27,0.06548335130482057
2014-03-17,39896587,18,0.04412849754232042
2014-03-24,39896587,23,0.05604855960396788
2014-03-31,39896587,23,0.05604855960396788
2014-04-07,39896587,24,0.05841561582773547
2014-04-14,39896587,15,0.03690765642936626
2014-04-21,39896587,36,0.08639169385635054
2014-04-28,39896587,26,0.06313298543328405
2014-05-05,39896587,28,0.06782820590759386
2014-05-12,39896587,15,0.03690765642936626
2014-05-19,39896587,24,0.05841561582773547
2014-05-26,39896587,21,0.05129757168663478
2014-06-02,39896587,27,0.06548335130482057
2014-06-09,39896587,25,0.060777082324929885
2014-06-16,39896587,27,0.06548335130482057
2014-06-23,39896587,24,0.05841561582773547
2014-06-30,39896587,19,0.046523904089361814
2014-07-07,39896587,29,0.07016757502741143
2014-07-14,39896587,21,0.05129757168663478
2014-07-21,39896587,23,0.05604855960396788
2014-07-28,39896587,30,0.07250148426953533
2014-08-04,39896587,29,0.07016757502741143
2014-08-11,39896587,33,0.0794707061093607
2014-08-18,39896587,37,0.08868808608440597
2014-08-25,39896587,19,0.046523904089361814
2014-09-01,39896587,16,0.03932040150077954
2014-09-08,39896587,30,0.07250148426953533
2014-09-15,39896587,15,0.03690765642936626
2014-09-22,39896587,19,0.046523904089361814
2014-09-29,39896587,14,0.03448907593695241
2014-10-06,39896587,12,0.029634295301489515
2014-10-13,39896587,23,0.05604855960396788
2014-10-20,39896587,17,0.04172733924220957
2014-10-27,39896587,21,0.05129757168663478
2014-11-03,39896587,10,0.024755830744018346
2014-11-10,39896587,16,0.03932040150077954
2014-11-17,39896587,4,0.009975994149904584
2014-11-24,39896587,11,0.027198037946858687
2014-12-01,39896587,12,0.029634295301489515
2014-12-08,39896587,9,0.022307644560267143
2014-12-15,39896587,10,0.024755830744018346
2014-12-22,39896587,5,0.012454519810387511
2014-12-29,79793174,21,0.05129757168663478
2015-01-05,39896587,13,0.03206463172820509
2015-01-12,39896587,6,0.014926917566459827
2015-01-19,39896587,7,0.01739321764465454
2015-01-26,39896587,7,0.01739321764465454
2015-02-02,39896587,9,0.022307644560267143
2015-02-09,39896587,15,0.03690765642936626
2015-02-16,39896587,8,0.01985345004841144
2015-02-23,39896587,10,0.024755830744018346
2015-03-02,39896587,29,0.07016757502741143
2015-03-09,39896587,14,0.03448907593695241
2015-03-16,39896587,16,0.03932040150077954
2015-03-23,39896587,19,0.046523904089361814
2015-03-30,39896587,24,0.05841561582773547
2015-04-06,39896587,30,0.07250148426953533
2015-04-13,39896587,28,0.06782820590759386
2015-04-20,39896587,26,0.06313298543328405
2015-04-27,39896587,25,0.060777082324929885
2015-05-04,39896587,19,0.046523904089361814
2015-05-11,39896587,28,0.06782820590759386
2015-05-18,39896587,27,0.06548335130482057
2015-05-25,39896587,26,0.06313298543328405
2015-06-01,39896587,25,0.060777082324929885
2015-06-08,39896587,21,0.05129757168663478
2015-06-15,39896587,29,0.07016757502741143
2015-06-22,39896587,31,0.07482995906036376
2015-06-29,39896587,26,0.06313298543328405
2015-07-06,39896587,41,0.09782128133783183
2015-07-13,39896587,25,0.060777082324929885
2015-07-20,39896587,25,0.060777082324929885
2015-07-27,39896587,24,0.05841561582773547
2015-08-03,39896587,34,0.08178302834086876
2015-08-10,39896587,42,0.1000916057775689
2015-08-17,39896587,53,0.12473079374764713
2015-08-24,39896587,43,0.1023567875176371
2015-08-31,39896587,31,0.07482995906036376
2015-09-07,39896587,18,0.04412849754232042
2015-09-14,39896587,33,0.0794707061093607
2015-09-21,39896587,37,0.08868808608440597
2015-09-28,39896587,32,0.07715302464909309
2015-10-05,39896587,30,0.07250148426953533
2015-10-12,39896587,34,0.08178302834086876
2015-10-19,39896587,33,0.0794707061093607
2015-10-26,39896587,31,0.07482995906036376
2015-11-02,39896587,34,0.08178302834086876
2015-11-09,39896587,21,0.05129757168663478
2015-11-16,39896587,34,0.08178302834086876
2015-11-23,39896587,38,0.09097921697498404
2015-11-30,39896587,27,0.06548335130482057
2015-12-07,39896587,24,0.05841561582773547
2015-12-14,39896587,20,0.04891358637308483
2015-12-21,39896587,17,0.04172733924220957
2016-01-04,39896587,34,0.08178302834086876
2016-01-11,39896587,35,0.08409001607098922
2016-01-18,39896587,33,0.0794707061093607
2016-01-25,39896587,36,0.08639169385635054
2016-02-01,39896587,42,0.1000916057775689
2016-02-08,39896587,38,0.09097921697498404
2016-02-15,39896587,35,0.08409001607098922
2016-02-22,39896587,45,0.10687181572416417
2016-02-29,39896587,33,0.0794707061093607
2016-03-07,39896587,27,0.06548335130482057
2016-03-14,39896587,40,0.09554579079407682
2016-03-21,39896587,11,0.027198037946858687
2016-03-28,39896587,36,0.08639169385635054
2016-04-04,39896587,29,0.07016757502741143
2016-04-11,39896587,38,0.09097921697498404
2016-04-18,39896587,31,0.07482995906036376
2016-04-25,39896587,27,0.06548335130482057
2016-05-02,39896587,35,0.08409001607098922
2016-05-09,39896587,25,0.060777082324929885
2016-05-16,39896587,25,0.060777082324929885
2016-05-23,39896587,33,0.0794707061093607
2016-05-30,39896587,33,0.0794707061093607
2016-06-06,39896587,29,0.07016757502741143
2016-06-13,39896587,25,0.060777082324929885
2016-06-20,39896587,48,0.11360636384684308
2016-06-27,39896587,30,0.07250148426953533
2016-07-04,39896587,26,0.06313298543328405
2016-07-11,39896587,31,0.07482995906036376
2016-07-18,39896587,26,0.06313298543328405
2016-07-25,39896587,36,0.08639169385635054
2016-08-01,39896587,22,0.05367588712842158
2016-08-08,39896587,23,0.05604855960396788
2016-08-15,39896587,28,0.06782820590759386
2016-08-22,39896587,36,0.08639169385635054
2016-08-29,39896587,33,0.0794707061093607
2016-09-05,39896587,27,0.06548335130482057
2016-09-12,39896587,20,0.04891358637308483
2016-09-19,39896587,34,0.08178302834086876
2016-09-26,39896587,29,0.07016757502741143
2016-10-03,39896587,33,0.0794707061093607
2016-10-10,39896587,26,0.06313298543328405
2016-10-17,39896587,26,0.06313298543328405
2016-10-24,39896587,26,0.06313298543328405
2016-10-31,39896587,28,0.06782820590759386
2016-11-07,39896587,40,0.09554579079407682
2016-11-14,39896587,34,0.08178302834086876
2016-11-21,39896587,20,0.04891358637308483
2016-11-28,39896587,22,0.05367588712842158
2016-12-05,39896587,23,0.05604855960396788
2016-12-12,39896587,16,0.03932040150077954
2016-12-19,39896587,23,0.05604855960396788
2016-12-26,39896587,18,0.04412849754232042
2017-01-02,39896587,30,0.07250148426953533
2017-01-09,39896587,40,0.09554579079407682
2017-01-16,39896587,42,0.1000916057775689
2017-01-23,39896587,28,0.06782820590759386
2017-01-30,39896587,33,0.0794707061093607
2017-02-06,39896587,25,0.060777082324929885
2017-02-13,39896587,39,0.09326511058182113
2017-02-20,39896587,34,0.08178302834086876
2017-02-27,39896587,25,0.060777082324929885
2017-03-06,39896587,37,0.08868808608440597
2017-03-13,39896587,41,0.09782128133783183
2017-03-20,39896587,27,0.06548335130482057
2017-03-27,39896587,44,0.10461684980369944
2017-04-03,39896587,29,0.07016757502741143
2017-04-10,39896587,17,0.04172733924220957
2017-04-17,39896587,35,0.08409001607098922
2017-04-24,39896587,35,0.08409001607098922
2017-05-01,39896587,21,0.05129757168663478
2017-05-08,39896587,27,0.06548335130482057
2017-05-15,39896587,32,0.07715302464909309
2017-05-22,39896587,32,0.07715302464909309
2017-05-29,39896587,34,0.08178302834086876
2017-06-05,39896587,44,0.10461684980369944
2017-06-12,39896587,37,0.08868808608440597
2017-06-19,39896587,40,0.09554579079407682
2017-06-26,39896587,27,0.06548335130482057
2017-07-03,39896587,31,0.07482995906036376
2017-07-10,39896587,33,0.0794707061093607
2017-07-17,39896587,33,0.0794707061093607
2017-07-24,39896587,25,0.060777082324929885
2017-07-31,39896587,43,0.1023567875176371
2017-08-07,39896587,28,0.06782820590759386
2017-08-14,39896587,36,0.08639169385635054
2017-08-21,39896587,34,0.08178302834086876
2017-08-28,39896587,30,0.07250148426953533
2017-09-04,39896587,35,0.08409001607098922
2017-09-11,39896587,45,0.10687181572416417
2017-09-18,39896587,50,0.1180709971059734
2017-09-25,39896587,31,0.07482995906036376
2017-10-02,39896587,43,0.1023567875176371
2017-10-09,39896587,34,0.08178302834086876
2017-10-16,39896587,36,0.08639169385635054
2017-10-23,39896587,29,0.07016757502741143
2017-10-30,39896587,27,0.06548335130482057
2017-11-06,39896587,36,0.08639169385635054
2017-11-13,39896587,35,0.08409001607098922
2017-11-20,39896587,29,0.07016757502741143
2017-11-27,39896587,48,0.11360636384684308
2017-12-04,39896587,35,0.08409001607098922
2017-12-11,39896587,31,0.07482995906036376
2017-12-18,39896587,25,0.060777082324929885
2017-12-25,39896587,26,0.06313298543328405
2018-01-01,39896587,33,0.0794707061093607
2018-01-08,39896587,32,0.07715302464909309
2018-01-15,39896587,32,0.07715302464909309
2018-01-22,39896587,28,0.06782820590759386
2018-01-29,39896587,22,0.05367588712842158
2018-02-05,39896587,23,0.05604855960396788
2018-02-12,39896587,48,0.11360636384684308
2018-02-19,39896587,23,0.05604855960396788
2018-02-26,39896587,28,0.06782820590759386
2018-03-05,39896587,41,0.09782128133783183
2018-03-12,39896587,56,0.13134653076438466
2018-03-19,39896587,28,0.06782820590759386
2018-03-26,39896587,19,0.046523904089361814
2018-04-02,39896587,31,0.07482995906036376
2018-04-09,39896587,35,0.08409001607098922
2018-04-16,39896587,46,0.10912170821160003
2018-04-23,39896587,30,0.07250148426953533
2018-04-30,39896587,28,0.06782820590759386
