Padecimiento,Entidad,MAPE_CV,RMSE_CV,MAE_CV,MDAPE_CV,MAPE_Train,RMSE_Train,MAE_Train,Brecha_CV_Train,N_Outliers,Semaforo
Depresión,Aguascalientes,40.88,15.73,12.1,0.3504,41.9,12.81,8.61,-1.02,0,Requiere_mejora
Depresión,Baja California,27.09,24.79,18.54,0.1628,32.5,21.04,15.67,-5.41,0,Aceptable
Depresión,Baja California Sur,53.64,12.19,8.91,0.388,43.3,11.14,6.32,10.34,0,Insuficiente
Depresión,Campeche,42.04,10.85,7.63,0.2685,35.88,9.48,5.96,6.16,0,Requiere_mejora
Depresión,Chiapas,37.6,16.25,11.58,0.273,38.22,14.64,10.07,-0.62,0,Requiere_mejora
Depresión,Chihuahua,24.21,38.66,27.61,0.1222,28.95,28.82,21.17,-4.74,0,Aceptable
Depresión,Ciudad de México,4.79,18.33,7.51,0.0196,7.09,18.59,6.51,-2.3,50,Excelente
Depresión,Coahuila,66.16,22.36,16.81,0.3802,63.03,17.81,13.16,3.13,0,Insuficiente
Depresión,Colima,42.3,15.45,11.16,0.2981,33.71,12.35,8.32,8.58,0,Requiere_mejora
Depresión,Durango,30.99,27.79,21.25,0.2103,48.38,24.57,18.72,-17.4,0,Requiere_mejora
Depresión,Guanajuato,29.89,24.12,18.55,0.1976,46.41,17.84,13.32,-16.51,0,Aceptable
Depresión,Guerrero,77.43,24.44,18.43,0.3667,66.96,21.52,14.91,10.48,0,Insuficiente
Depresión,Hidalgo,37.97,18.19,13.91,0.2323,32.19,15.18,11.06,5.78,0,Requiere_mejora
Depresión,Jalisco,14.2,28.46,19.63,0.0812,15.71,22.55,15.49,-1.5,64,Excelente
Depresión,Michoacán,25.1,25.94,20.03,0.1999,22.85,20.7,15.72,2.25,0,Aceptable
Depresión,Morelos,38.81,24.0,16.47,0.2431,35.45,21.31,14.5,3.36,0,Requiere_mejora
Depresión,México,22.27,35.0,24.81,0.0979,21.51,26.0,18.2,0.76,0,Aceptable
Depresión,Nayarit,46.01,32.89,23.91,0.2817,40.56,25.05,18.36,5.45,0,Requiere_mejora
Depresión,Nuevo León,28.72,27.25,20.7,0.1931,27.85,22.21,16.79,0.86,16,Aceptable
Depresión,Oaxaca,52.2,18.13,13.14,0.3178,46.93,15.51,10.79,5.27,13,Insuficiente
Depresión,Puebla,72.92,32.77,24.3,0.308,71.65,29.63,20.93,1.27,0,Insuficiente
Depresión,Querétaro,50.25,11.65,7.92,0.3391,48.22,11.61,6.31,2.03,0,Insuficiente
Depresión,Quintana Roo,45.75,13.29,9.37,0.2712,48.86,11.93,7.58,-3.11,0,Requiere_mejora
Depresión,San Luis Potosí,34.76,19.92,15.36,0.2338,32.02,17.43,12.85,2.74,0,Requiere_mejora
Depresión,Sinaloa,26.74,24.41,19.3,0.2017,21.43,18.5,13.9,5.31,0,Aceptable
Depresión,Sonora,36.48,20.97,15.83,0.2467,30.94,18.3,12.47,5.54,0,Requiere_mejora
Depresión,Tabasco,54.49,31.65,22.97,0.3748,43.82,22.33,15.76,10.66,0,Insuficiente
Depresión,Tamaulipas,27.8,25.68,20.52,0.2188,22.99,20.61,15.85,4.82,0,Aceptable
Depresión,Tlaxcala,49.3,10.07,6.7,0.3004,43.72,8.95,5.09,5.58,0,Requiere_mejora
Depresión,Veracruz,34.12,36.08,27.71,0.184,29.15,28.79,22.15,4.97,0,Requiere_mejora
Depresión,Yucatán,49.92,20.79,15.78,0.2973,43.04,17.11,11.74,6.88,0,Requiere_mejora
Depresión,Zacatecas,30.18,13.86,10.04,0.2273,29.84,11.8,8.1,0.34,0,Requiere_mejora
Parkinson,Aguascalientes,48.82,1.36,1.07,0.5785,38.98,1.21,0.96,9.84,0,Requiere_mejora
Parkinson,Baja California,71.48,2.64,2.06,0.4471,58.4,2.41,1.83,13.08,0,Insuficiente
Parkinson,Baja California Sur,47.23,1.14,0.91,inf,35.33,1.1,0.84,11.9,0,Requiere_mejora
Parkinson,Campeche,46.56,1.48,1.16,0.6444,40.87,1.32,1.02,5.69,0,Requiere_mejora
Parkinson,Chiapas,66.18,2.26,1.74,0.4672,63.8,2.09,1.63,2.38,0,Insuficiente
Parkinson,Chihuahua,63.77,4.32,3.45,0.3353,62.96,3.59,2.99,0.81,0,Insuficiente
Parkinson,Ciudad de México,84.96,5.06,3.99,0.3874,75.15,4.02,3.34,9.81,0,Insuficiente
