Padecimiento,Estado,Sexo,MAPE_CV,RMSE_CV,MAE_CV,MAPE_Train,N_Outliers
Depresión,Aguascalientes,Hombres,56.09,5.25,3.99,53.09,0
Depresión,Aguascalientes,Mujeres,42.9,11.98,9.3,40.06,0
Depresión,Baja California,Hombres,40.02,9.21,7.26,46.77,0
Depresión,Baja California,Mujeres,26.71,17.7,13.19,33.77,0
Depresión,Baja California Sur,Hombres,98.9,5.46,4.01,74.48,0
Depresión,Baja California Sur,Mujeres,57.27,8.05,5.79,46.85,0
Depresión,Campeche,Hombres,62.59,3.76,2.83,57.55,0
Depresión,Campeche,Mujeres,53.49,8.44,6.04,44.31,0
Depresión,Chiapas,Hombres,62.63,5.24,3.84,62.93,0
Depresión,Chiapas,Mujeres,38.53,12.4,8.87,40.79,0
Depresión,Chihuahua,Hombres,27.82,11.64,8.39,26.45,0
Depresión,Chihuahua,Mujeres,26.0,28.79,20.7,27.48,0
Depresión,Ciudad de México,Hombres,3.91,4.68,1.84,3.39,0
Depresión,Ciudad de México,Mujeres,5.56,14.05,5.97,6.78,0
Depresión,Coahuila,Hombres,83.97,7.64,5.53,88.45,0
Depresión,Coahuila,Mujeres,72.59,16.11,12.26,67.77,0
Depresión,Colima,Hombres,64.54,5.55,3.88,63.03,0
Depresión,Colima,Mujeres,44.12,11.2,8.2,36.11,0
Depresión,Durango,Hombres,43.12,8.2,6.56,46.01,0
Depresión,Durango,Mujeres,37.6,21.73,16.55,49.95,0
Depresión,Guanajuato,Hombres,40.55,6.52,5.0,48.13,0
Depresión,Guanajuato,Mujeres,38.67,20.1,15.68,52.91,0
Depresión,Guerrero,Hombres,92.13,6.94,5.26,84.46,0
Depresión,Guerrero,Mujeres,82.67,18.97,14.35,74.46,0
Depresión,Hidalgo,Hombres,53.22,5.1,3.9,46.38,0
Depresión,Hidalgo,Mujeres,39.62,14.94,11.54,35.82,0
Depresión,Jalisco,Hombres,26.16,9.1,6.31,25.29,0
Depresión,Jalisco,Mujeres,14.32,20.96,14.55,18.18,0
Depresión,Michoacán,Hombres,35.61,9.15,7.06,37.62,0
Depresión,Michoacán,Mujeres,25.2,18.62,14.45,22.98,0
Depresión,Morelos,Hombres,66.52,7.22,5.28,61.76,0
Depresión,Morelos,Mujeres,39.99,18.54,12.93,37.02,0
Depresión,México,Hombres,23.47,10.33,7.51,23.78,0
Depresión,México,Mujeres,20.22,26.21,18.23,20.59,0
Depresión,Nayarit,Hombres,52.19,9.55,7.1,52.03,0
Depresión,Nayarit,Mujeres,53.04,25.02,18.13,45.37,0
Depresión,Nuevo León,Hombres,40.27,8.67,6.7,45.16,0
Depresión,Nuevo León,Mujeres,30.09,20.59,15.88,28.49,0
Depresión,Oaxaca,Hombres,70.65,6.46,4.69,63.48,0
Depresión,Oaxaca,Mujeres,54.95,13.56,9.71,50.25,0
Depresión,Puebla,Hombres,75.12,10.48,8.13,67.89,0
Depresión,Puebla,Mujeres,61.02,23.91,17.34,63.23,0
Depresión,Querétaro,Hombres,75.05,3.34,2.42,64.34,0
Depresión,Querétaro,Mujeres,56.67,9.31,6.37,51.64,0
Depresión,Quintana Roo,Hombres,85.36,4.44,3.31,72.38,0
Depresión,Quintana Roo,Mujeres,48.71,10.49,7.14,48.66,0
Depresión,San Luis Potosí,Hombres,47.85,7.46,5.75,47.01,0
Depresión,San Luis Potosí,Mujeres,34.85,14.85,11.44,31.77,0
Depresión,Sinaloa,Hombres,35.47,8.36,6.59,31.99,0
Depresión,Sinaloa,Mujeres,27.93,18.68,14.79,22.94,0
Depresión,Sonora,Hombres,60.01,6.75,5.07,53.54,0
Depresión,Sonora,Mujeres,38.58,15.83,12.05,33.84,0
Depresión,Tabasco,Hombres,73.23,10.49,7.43,78.01,0
Depresión,Tabasco,Mujeres,56.88,22.69,16.46,44.36,0
Depresión,Tamaulipas,Hombres,40.05,9.93,7.88,37.11,0
Depresión,Tamaulipas,Mujeres,27.42,18.36,14.38,23.23,0
Depresión,Tlaxcala,Hombres,69.74,3.31,2.32,57.98,0
Depresión,Tlaxcala,Mujeres,49.46,7.79,5.19,45.03,0
Depresión,Veracruz,Hombres,35.92,9.67,7.57,34.4,0
Depresión,Veracruz,Mujeres,37.31,28.35,21.76,31.35,0
Depresión,Yucatán,Hombres,69.4,7.23,5.11,65.21,0
Depresión,Yucatán,Mujeres,49.86,15.29,11.66,42.47,0
Depresión,Zacatecas,Hombres,52.64,4.96,3.58,52.68,0
Depresión,Zacatecas,Mujeres,32.8,10.67,7.85,31.88,0
Parkinson,Aguascalientes,Hombres,41.24,1.04,0.84,42.12,0
Parkinson,Aguascalientes,Mujeres,47.71,0.86,0.69,46.05,0
Parkinson,Baja California,Hombres,60.85,1.66,1.34,47.96,0
