Padecimiento,Ranking,Tipo,Entidad,MAPE_CV
Depresión,1,Mejor,Ciudad de México,4.79
Depresión,2,Mejor,Jalisco,14.2
Depresión,3,Mejor,México,22.27
Depresión,4,Mejor,Chihuahua,24.21
Depresión,5,Mejor,Michoacán,25.1
Depresión,1,Peor,Guerrero,77.43
Depresión,2,Peor,Puebla,72.92
Depresión,3,Peor,Coahuila,66.16
Depresión,4,Peor,Tabasco,54.49
Depresión,5,Peor,Baja California Sur,53.64
Parkinson,1,Mejor,Jalisco,36.04
Parkinson,2,Mejor,Veracruz,46.24
Parkinson,3,Mejor,Campeche,46.56
Parkinson,4,Mejor,Baja California Sur,47.23
Parkinson,5,Mejor,Aguascalientes,48.82
Parkinson,1,Peor,Puebla,102.27
Parkinson,2,Peor,Durango,101.63
Parkinson,3,Peor,Morelos,87.73
Parkinson,4,Peor,Coahuila,86.67
Parkinson,5,Peor,San Luis Potosí,86.31
Alzheimer,1,Mejor,San Luis Potosí,38.69
Alzheimer,2,Mejor,Chiapas,40.13
Alzheimer,3,Mejor,Tabasco,40.92
Alzheimer,4,Mejor,Durango,41.49
Alzheimer,5,Mejor,Hidalgo,42.63
Alzheimer,1,Peor,Baja California Sur,74.74
Alzheimer,2,Peor,Zacatecas,67.56
Alzheimer,3,Peor,Tlaxcala,63.27
Alzheimer,4,Peor,Quintana Roo,62.43
Alzheimer,5,Peor,Querétaro,61.56
