disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
alzheimer,Alzheimer,neuro,Nacional,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Nacional,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Nacional,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Aguascalientes,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Aguascalientes,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Aguascalientes,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Baja California,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Baja California,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Baja California,general,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Baja California Sur,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Baja California Sur,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Baja California Sur,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Campeche,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Campeche,mujeres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Campeche,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Chiapas,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Chiapas,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Chiapas,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Chihuahua,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Chihuahua,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Chihuahua,general,Stacking,tabla_333
alzheimer,Alzheimer,neuro,Ciudad de México,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Ciudad de México,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Ciudad de México,general,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Coahuila,hombres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Coahuila,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Coahuila,general,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Colima,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Colima,mujeres,Prophet,tabla_333
alzheimer,Alzheimer,neuro,Colima,general,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Durango,hombres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Durango,mujeres,DeepAR,tabla_333
alzheimer,Alzheimer,neuro,Durango,general,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Guanajuato,hombres,Ensemble,tabla_333
alzheimer,Alzheimer,neuro,Guanajuato,mujeres,Prophet,tabla_333
