ds,entidad,padecimiento,meta_modo,yhat
2026-02-02,Aguascalientes,Alzheimer,general,0
2026-02-02,Aguascalientes,Alzheimer,hombres,0
2026-02-02,Aguascalientes,Alzheimer,mujeres,0
2026-02-09,Aguascalientes,Alzheimer,general,0
2026-02-09,Aguascalientes,Alzheimer,hombres,0
2026-02-09,Aguascalientes,Alzheimer,mujeres,1
2026-02-16,Aguascalientes,Alzheimer,general,0
2026-02-16,Aguascalientes,Alzheimer,hombres,0
2026-02-16,Aguascalientes,Alzheimer,mujeres,1
2026-02-23,Aguascalientes,Alzheimer,general,0
2026-02-23,Aguascalientes,Alzheimer,hombres,0
2026-02-23,Aguascalientes,Alzheimer,mujeres,1
2026-03-02,Aguascalientes,Alzheimer,general,1
2026-03-02,Aguascalientes,Alzheimer,hombres,0
2026-03-02,Aguascalientes,Alzheimer,mujeres,1
2026-03-09,Aguascalientes,Alzheimer,general,1
2026-03-09,Aguascalientes,Alzheimer,hombres,0
2026-03-09,Aguascalientes,Alzheimer,mujeres,1
2026-03-16,Aguascalientes,Alzheimer,general,0
2026-03-16,Aguascalientes,Alzheimer,hombres,0
2026-03-16,Aguascalientes,Alzheimer,mujeres,0
2026-03-23,Aguascalientes,Alzheimer,general,0
2026-03-23,Aguascalientes,Alzheimer,hombres,0
2026-03-23,Aguascalientes,Alzheimer,mujeres,0
2026-03-30,Aguascalientes,Alzheimer,general,0
2026-03-30,Aguascalientes,Alzheimer,hombres,0
2026-03-30,Aguascalientes,Alzheimer,mujeres,0
2026-04-06,Aguascalientes,Alzheimer,general,0
2026-04-06,Aguascalientes,Alzheimer,hombres,0
2026-04-06,Aguascalientes,Alzheimer,mujeres,0
2026-04-13,Aguascalientes,Alzheimer,general,0
2026-04-13,Aguascalientes,Alzheimer,hombres,0
2026-04-13,Aguascalientes,Alzheimer,mujeres,0
2026-04-20,Aguascalientes,Alzheimer,general,0
2026-04-20,Aguascalientes,Alzheimer,hombres,0
2026-04-20,Aguascalientes,Alzheimer,mujeres,0
2026-04-27,Aguascalientes,Alzheimer,general,0
2026-04-27,Aguascalientes,Alzheimer,hombres,0
2026-04-27,Aguascalientes,Alzheimer,mujeres,0
2026-05-04,Aguascalientes,Alzheimer,general,0
2026-05-04,Aguascalientes,Alzheimer,hombres,0
2026-05-04,Aguascalientes,Alzheimer,mujeres,0
2026-05-11,Aguascalientes,Alzheimer,general,0
2026-05-11,Aguascalientes,Alzheimer,hombres,0
2026-05-11,Aguascalientes,Alzheimer,mujeres,0
2026-05-18,Aguascalientes,Alzheimer,general,0
2026-05-18,Aguascalientes,Alzheimer,hombres,0
