region,ds,yhat,yhat_lower,yhat_upper
Region Metropolitana alta,2018-06-25,0.0,0.0,0.0
Region Metropolitana alta,2018-07-02,6.0,6.0,6.0
Region Metropolitana alta,2018-07-09,37.0,37.0,37.0
Region Metropolitana alta,2018-07-16,35.0,35.0,35.0
Region Metropolitana alta,2018-07-23,46.0,46.0,46.0
Region Metropolitana alta,2018-07-30,35.0,35.0,35.0
Region Metropolitana alta,2018-08-06,77.0,77.0,77.0
Region Metropolitana alta,2018-08-13,88.0,88.0,88.0
Region Metropolitana alta,2018-08-20,96.0,96.0,96.0
Region Metropolitana alta,2018-08-27,152.0,152.0,152.0
Region Metropolitana alta,2018-09-03,148.0,148.0,148.0
Region Metropolitana alta,2018-09-10,112.0,112.0,112.0
Region Metropolitana alta,2018-09-17,256.0,256.0,256.0
Region Metropolitana alta,2018-09-24,164.0,164.0,164.0
Region Metropolitana alta,2018-10-01,175.0,175.0,175.0
Region Metropolitana alta,2018-10-08,173.0,173.0,173.0
Region Metropolitana alta,2018-10-15,384.0,384.0,384.0
Region Metropolitana alta,2018-10-22,167.0,167.0,167.0
Region Metropolitana alta,2018-10-29,341.0,341.0,341.0
Region Metropolitana alta,2018-11-05,96.0,96.0,96.0
Region Metropolitana alta,2018-11-12,318.0,318.0,318.0
Region Metropolitana alta,2018-11-26,358.0,358.0,358.0
Region Metropolitana alta,2018-12-03,115.0,115.0,115.0
Region Metropolitana alta,2018-12-10,54.0,54.0,54.0
Region Metropolitana alta,2019-01-07,0.0,0.0,0.0
Region Metropolitana alta,2019-01-14,11.0,11.0,11.0
Region Metropolitana alta,2019-01-21,26.0,26.0,26.0
Region Metropolitana alta,2019-01-28,13.0,13.0,13.0
Region Metropolitana alta,2019-02-04,7.0,7.0,7.0
Region Metropolitana alta,2019-02-18,30.0,30.0,30.0
Region Metropolitana alta,2019-02-25,10.0,10.0,10.0
Region Metropolitana alta,2019-03-04,12.0,12.0,12.0
Region Metropolitana alta,2019-03-11,11.0,11.0,11.0
Region Metropolitana alta,2019-03-18,10.0,10.0,10.0
Region Metropolitana alta,2019-03-25,8.0,8.0,8.0
Region Metropolitana alta,2019-04-01,12.0,12.0,12.0
Region Metropolitana alta,2019-04-08,5.0,5.0,5.0
