pool,k,universo,n,reasignadas,pct_mejoran,med_global_antes,med_global_despues,media_global_despues,p_vs_pool_completo
prophet+deepar+ensemble+stacking,4,n99,99,56,78.57142857142857,32.7352790578597,28.52308783602535,30.898031997059974,
deepar+ensemble+stacking,3,n99,99,46,76.08695652173914,32.7352790578597,29.365181571543364,32.34148640881563,0.022752458098185123
prophet+ensemble+stacking,3,n99,99,97,73.19587628865979,32.7352790578597,26.437667962967108,29.81575180713684,0.06913914443691077
prophet+deepar+stacking,3,n99,99,53,77.35849056603774,32.7352790578597,28.52308783602535,31.26158336872376,0.2270698535482384
prophet+deepar+ensemble,3,n99,99,54,79.62962962962963,32.7352790578597,28.75783475783476,30.78909238772756,0.8676748875861675
prophet,1,n99,99,98,65.3061224489796,32.7352790578597,27.598873607295225,30.91829116023526,0.72779524182825
deepar,1,n99,99,3,0.0,32.7352790578597,32.7352790578597,35.739046529106695,1.9346282896819603e-06
ensemble,1,n99,99,97,61.855670103092784,32.7352790578597,31.610894924465562,33.207374946397714,0.022393673295869113
stacking,1,n99,99,99,50.505050505050505,32.7352790578597,32.26957449646526,36.269733005386826,8.311539079677701e-05
prophet+deepar+ensemble+stacking,4,n111,111,63,77.77777777777779,31.041216017373102,26.437667962967108,29.368637553515246,
deepar+ensemble+stacking,3,n111,111,53,75.47169811320755,31.041216017373102,27.415543338420527,30.64042266748163,0.0405027469633102
prophet+ensemble+stacking,3,n111,111,109,74.31192660550458,31.041216017373102,24.58922797632475,28.06390225947922,0.019781925579344356
prophet+deepar+stacking,3,n111,111,59,76.27118644067797,31.041216017373102,26.558168377608016,29.706375314494643,0.24738981031901053
prophet+deepar+ensemble,3,n111,111,60,78.33333333333333,31.041216017373102,27.372179314720274,29.42240884115375,0.6272881495600234
prophet,1,n111,111,110,67.27272727272727,31.041216017373102,24.97338652618156,29.094187905991532,0.9506444544322008
deepar,1,n111,111,3,0.0,31.041216017373102,31.041216017373102,33.89560620111744,8.710399086339138e-07
ensemble,1,n111,111,109,62.38532110091744,31.041216017373102,28.331426985444423,31.33247025582456,0.02799362130135791
stacking,1,n111,111,111,51.35135135135135,31.041216017373102,30.086927862233765,34.40078354578095,5.361365406399556e-05
