pool,k,universo,n,reparto,mediana,media,p_vs_pool_completo
prophet+deepar+ensemble+stacking,4,n99,99,"{""deepar"": 96, ""ensemble"": 2, ""prophet"": 1}",27.37915066640195,29.951501999518506,
deepar+ensemble+stacking,3,n99,99,"{""deepar"": 97, ""ensemble"": 2}",27.37915066640195,29.953321699542048,0.8430219763697249
prophet+ensemble+stacking,3,n99,99,"{""ensemble"": 44, ""stacking"": 29, ""prophet"": 26}",27.98433695802708,29.97928912137461,0.4851396209419683
prophet+deepar+stacking,3,n99,99,"{""deepar"": 97, ""prophet"": 1, ""stacking"": 1}",27.37915066640195,29.99584341810713,0.6949115848947903
prophet+deepar+ensemble,3,n99,99,"{""deepar"": 96, ""ensemble"": 2, ""prophet"": 1}",27.37915066640195,29.951501999518506,1.0
prophet,1,n99,99,"{""prophet"": 99}",26.744758509464393,28.961074660973253,0.09149666295979583
deepar,1,n99,99,"{""deepar"": 99}",27.37915066640195,30.0201028899764,0.5601426741569839
ensemble,1,n99,99,"{""ensemble"": 99}",28.076800618567997,31.27988616246438,0.5309821242386621
stacking,1,n99,99,"{""stacking"": 99}",29.275152358634323,34.43320654591653,0.006618667970200927
prophet+deepar+ensemble+stacking,4,n111,111,"{""deepar"": 107, ""ensemble"": 2, ""prophet"": 1, ""stacking"": 1}",26.764678845217087,28.280428572733246,
deepar+ensemble+stacking,3,n111,111,"{""deepar"": 108, ""ensemble"": 2, ""stacking"": 1}",26.764678845217087,28.28205154842992,0.8514119675601606
prophet+ensemble+stacking,3,n111,111,"{""ensemble"": 46, ""stacking"": 36, ""prophet"": 29}",26.540654141948334,28.135966623600137,0.2868271013214808
prophet+deepar+stacking,3,n111,111,"{""deepar"": 108, ""stacking"": 2, ""prophet"": 1}",26.764678845217087,28.31997632444743,0.7103656060173159
prophet+deepar+ensemble,3,n111,111,"{""deepar"": 108, ""ensemble"": 2, ""prophet"": 1}",26.764678845217087,28.26776379877873,0.8514119675601606
prophet,1,n111,111,"{""prophet"": 111}",24.565070323420507,27.27555209353246,0.06485226748160952
deepar,1,n111,111,"{""deepar"": 111}",26.764678845217087,28.3289483767547,0.7138593150115076
ensemble,1,n111,111,"{""ensemble"": 111}",27.706663120673547,29.380718102694235,0.7273450908439121
stacking,1,n111,111,"{""stacking"": 111}",28.62783684363147,32.555033695509394,0.004626711535008778
