entidad,modo,base,H_base,regional,H::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,H::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,H::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,H::prophet+deepar+stacking,sel::prophet+deepar+stacking,H::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,H::prophet,sel::prophet,H::deepar,sel::deepar,H::ensemble,sel::ensemble,H::stacking,sel::stacking
Nacional,hombres,prophet,9.966001529236463,False,12.779291034008638,deepar,12.779291034008638,deepar,9.966001529236463,prophet,12.779291034008638,deepar,12.779291034008638,deepar,9.966001529236463,prophet,12.779291034008638,deepar,13.04782276505624,ensemble,49.70278254384312,stacking
Nacional,mujeres,ensemble,9.23124092718941,False,12.500931095313755,stacking,12.500931095313755,stacking,12.500931095313755,stacking,12.500931095313755,stacking,9.921645993467672,prophet,9.921645993467672,prophet,12.747913795451943,deepar,9.23124092718941,ensemble,12.500931095313755,stacking
Nacional,general,ensemble,8.320043237304871,False,8.320043237304871,ensemble,8.320043237304871,ensemble,8.320043237304871,ensemble,9.36792305524371,prophet,8.320043237304871,ensemble,9.36792305524371,prophet,11.99916552857272,deepar,8.320043237304871,ensemble,18.658998150967257,stacking
Aguascalientes,hombres,deepar,46.33246885428839,False,29.978080065418105,prophet,22.855931334600303,stacking,29.978080065418105,prophet,29.978080065418105,prophet,29.978080065418105,prophet,29.978080065418105,prophet,46.33246885428839,deepar,41.79706506608126,ensemble,22.855931334600303,stacking
Aguascalientes,mujeres,deepar,51.02321243859061,False,33.462279364058645,stacking,33.462279364058645,stacking,33.462279364058645,stacking,33.462279364058645,stacking,39.65535950172818,ensemble,32.944525365370616,prophet,51.02321243859061,deepar,39.65535950172818,ensemble,33.462279364058645,stacking
Aguascalientes,general,deepar,36.87058633710737,False,36.87058633710737,deepar,36.87058633710737,deepar,27.576832708844208,prophet,36.87058633710737,deepar,36.87058633710737,deepar,27.576832708844208,prophet,36.87058633710737,deepar,33.75826949251061,ensemble,27.399564880677445,stacking
Baja California,hombres,deepar,26.554295271612066,False,26.554295271612066,deepar,26.554295271612066,deepar,26.92671344727296,prophet,26.554295271612066,deepar,26.554295271612066,deepar,26.92671344727296,prophet,26.554295271612066,deepar,26.18704191047757,ensemble,34.512018551926616,stacking
Baja California,mujeres,deepar,20.85583838608525,False,14.254638988262686,ensemble,14.254638988262686,ensemble,14.254638988262686,ensemble,11.613315258153085,stacking,14.254638988262686,ensemble,10.457250699769304,prophet,20.85583838608525,deepar,14.254638988262686,ensemble,11.613315258153085,stacking
Baja California,general,deepar,19.05852553843595,False,11.81522180783629,ensemble,11.81522180783629,ensemble,11.81522180783629,ensemble,12.260716916150017,prophet,11.81522180783629,ensemble,12.260716916150017,prophet,19.05852553843595,deepar,11.81522180783629,ensemble,13.702577093172334,stacking
Baja California Sur,hombres,deepar,90.73197241320355,False,51.828647960416966,ensemble,51.828647960416966,ensemble,51.828647960416966,ensemble,51.89532815370509,stacking,51.828647960416966,ensemble,115.38815271010388,prophet,90.73197241320355,deepar,51.828647960416966,ensemble,51.89532815370509,stacking
Baja California Sur,mujeres,deepar,54.98716067840096,False,49.73150434646673,stacking,49.73150434646673,stacking,49.73150434646673,stacking,49.73150434646673,stacking,54.98716067840096,deepar,41.11631018095285,prophet,54.98716067840096,deepar,43.64503023197988,ensemble,49.73150434646673,stacking
Baja California Sur,general,deepar,42.034673431467375,False,38.75213859947069,stacking,38.75213859947069,stacking,38.75213859947069,stacking,38.75213859947069,stacking,35.36602714309978,ensemble,42.53058966496813,prophet,42.034673431467375,deepar,35.36602714309978,ensemble,38.75213859947069,stacking
Campeche,hombres,deepar,15.35925235221877,False,26.12925532704578,stacking,26.12925532704578,stacking,26.12925532704578,stacking,26.12925532704578,stacking,23.238090842136284,prophet,23.238090842136284,prophet,15.35925235221877,deepar,27.63331127785385,ensemble,26.12925532704578,stacking
Campeche,mujeres,deepar,26.20339559235387,False,23.252869572662593,stacking,23.252869572662593,stacking,23.252869572662593,stacking,23.252869572662593,stacking,24.694839444099212,ensemble,21.196068707382256,prophet,26.20339559235387,deepar,24.694839444099212,ensemble,23.252869572662593,stacking
Campeche,general,deepar,22.306045207596025,False,18.1986492512614,prophet,19.892149374025124,stacking,18.1986492512614,prophet,18.1986492512614,prophet,18.1986492512614,prophet,18.1986492512614,prophet,22.306045207596025,deepar,21.882015209443846,ensemble,19.892149374025124,stacking
Chiapas,hombres,deepar,36.05025092238852,False,23.712796587658623,stacking,23.712796587658623,stacking,23.712796587658623,stacking,23.712796587658623,stacking,24.54977954365736,prophet,24.54977954365736,prophet,36.05025092238852,deepar,45.76105834182914,ensemble,23.712796587658623,stacking
Chiapas,mujeres,deepar,28.800492804208105,False,14.437295228635497,prophet,37.756669806519874,ensemble,14.437295228635497,prophet,14.437295228635497,prophet,14.437295228635497,prophet,14.437295228635497,prophet,28.800492804208105,deepar,37.756669806519874,ensemble,23.617544725339286,stacking
Chiapas,general,deepar,34.51364657685542,False,34.51364657685542,deepar,34.51364657685542,deepar,22.663951868116822,prophet,34.51364657685542,deepar,34.51364657685542,deepar,22.663951868116822,prophet,34.51364657685542,deepar,22.518309273614705,ensemble,25.013298834180432,stacking
Chihuahua,hombres,deepar,39.728649677942265,False,39.728649677942265,deepar,39.728649677942265,deepar,19.21107386615187,prophet,39.728649677942265,deepar,39.728649677942265,deepar,19.21107386615187,prophet,39.728649677942265,deepar,25.12937648567869,ensemble,19.274227183976837,stacking
Chihuahua,mujeres,deepar,23.520679751506933,False,23.520679751506933,deepar,23.520679751506933,deepar,15.483778518946572,prophet,23.520679751506933,deepar,23.520679751506933,deepar,15.483778518946572,prophet,23.520679751506933,deepar,13.223739814645432,ensemble,12.023406732609066,stacking
Chihuahua,general,deepar,23.54380882416119,False,23.54380882416119,deepar,23.54380882416119,deepar,14.744881184689177,ensemble,23.54380882416119,deepar,23.54380882416119,deepar,16.04945838684623,prophet,23.54380882416119,deepar,14.744881184689177,ensemble,14.642942108764451,stacking
Ciudad de México,hombres,deepar,19.81503307444453,False,19.81503307444453,deepar,19.81503307444453,deepar,19.53945779467218,prophet,19.81503307444453,deepar,19.81503307444453,deepar,19.53945779467218,prophet,19.81503307444453,deepar,28.62533968936195,ensemble,27.335049526886184,stacking
Ciudad de México,mujeres,deepar,36.61772841873107,False,17.83334572565989,prophet,20.55166604594052,ensemble,17.83334572565989,prophet,17.83334572565989,prophet,17.83334572565989,prophet,17.83334572565989,prophet,36.61772841873107,deepar,20.55166604594052,ensemble,45.48267042004633,stacking
Ciudad de México,general,deepar,25.005736116267315,False,12.895144434664976,prophet,25.005736116267315,deepar,12.895144434664976,prophet,12.895144434664976,prophet,12.895144434664976,prophet,12.895144434664976,prophet,25.005736116267315,deepar,18.7409262157532,ensemble,41.42794871340843,stacking
Coahuila,hombres,deepar,21.428485196381274,False,25.232861858809052,prophet,21.428485196381274,deepar,25.232861858809052,prophet,25.232861858809052,prophet,25.232861858809052,prophet,25.232861858809052,prophet,21.428485196381274,deepar,22.82954003660998,ensemble,32.564803107696186,stacking
Coahuila,mujeres,deepar,30.690047873416482,False,30.690047873416482,deepar,30.690047873416482,deepar,16.269289423355215,prophet,30.690047873416482,deepar,30.690047873416482,deepar,16.269289423355215,prophet,30.690047873416482,deepar,17.111998055110472,ensemble,35.619824312541986,stacking
Coahuila,general,deepar,43.67222855404641,False,21.534034056022758,prophet,16.698090907298816,ensemble,21.534034056022758,prophet,21.534034056022758,prophet,21.534034056022758,prophet,21.534034056022758,prophet,43.67222855404641,deepar,16.698090907298816,ensemble,33.1080078754631,stacking
Colima,hombres,deepar,60.49971942882143,False,60.49971942882143,deepar,60.49971942882143,deepar,75.4682255088052,prophet,60.49971942882143,deepar,60.49971942882143,deepar,75.4682255088052,prophet,60.49971942882143,deepar,65.81204516149157,ensemble,90.26186242644748,stacking
Colima,mujeres,deepar,44.91495399257294,False,38.03989337387389,ensemble,38.03989337387389,ensemble,38.03989337387389,ensemble,44.91495399257294,deepar,38.03989337387389,ensemble,44.88366633559958,prophet,44.91495399257294,deepar,38.03989337387389,ensemble,57.05207861153575,stacking
Colima,general,deepar,33.73927996076295,False,33.73927996076295,deepar,33.73927996076295,deepar,32.63843524644032,ensemble,33.73927996076295,deepar,33.73927996076295,deepar,53.569550474984986,prophet,33.73927996076295,deepar,32.63843524644032,ensemble,77.75716279607569,stacking
Durango,hombres,deepar,34.07408867792059,False,34.07408867792059,deepar,34.07408867792059,deepar,41.76205822373769,ensemble,34.07408867792059,deepar,34.07408867792059,deepar,43.357997432159046,prophet,34.07408867792059,deepar,41.76205822373769,ensemble,38.18714943684713,stacking
Durango,mujeres,deepar,46.0133060620144,False,15.484552197244236,stacking,15.484552197244236,stacking,15.484552197244236,stacking,15.484552197244236,stacking,17.594336243129447,ensemble,24.160104856647948,prophet,46.0133060620144,deepar,17.594336243129447,ensemble,15.484552197244236,stacking
Durango,general,deepar,23.41670742728244,False,19.505373894356733,stacking,19.505373894356733,stacking,19.505373894356733,stacking,19.505373894356733,stacking,21.242869079170763,ensemble,24.626082077560962,prophet,23.41670742728244,deepar,21.242869079170763,ensemble,19.505373894356733,stacking
Guanajuato,hombres,deepar,40.487980019787315,False,37.986270056438634,ensemble,37.986270056438634,ensemble,37.986270056438634,ensemble,40.487980019787315,deepar,37.986270056438634,ensemble,49.830044862295615,prophet,40.487980019787315,deepar,37.986270056438634,ensemble,40.88024059387611,stacking
Guanajuato,mujeres,deepar,25.241555474275717,False,25.241555474275717,deepar,25.241555474275717,deepar,23.267001807980975,stacking,25.241555474275717,deepar,25.241555474275717,deepar,30.71237569101715,prophet,25.241555474275717,deepar,33.581357055545425,ensemble,23.267001807980975,stacking
Guanajuato,general,deepar,17.863234511435326,False,17.863234511435326,deepar,17.863234511435326,deepar,27.37425185748582,stacking,17.863234511435326,deepar,17.863234511435326,deepar,35.18500532375741,prophet,17.863234511435326,deepar,36.45830604142585,ensemble,27.37425185748582,stacking
Guerrero,hombres,deepar,39.6874404136417,False,39.6874404136417,deepar,39.6874404136417,deepar,34.150203512218766,prophet,39.6874404136417,deepar,39.6874404136417,deepar,34.150203512218766,prophet,39.6874404136417,deepar,28.6612192280922,ensemble,26.237517566001067,stacking
Guerrero,mujeres,deepar,27.51547741813028,False,29.389982331076897,prophet,27.51547741813028,deepar,29.389982331076897,prophet,29.389982331076897,prophet,29.389982331076897,prophet,29.389982331076897,prophet,27.51547741813028,deepar,40.38778728027293,ensemble,29.67843565494796,stacking
Guerrero,general,deepar,34.221229002149656,False,26.591157265297632,stacking,26.591157265297632,stacking,26.591157265297632,stacking,26.591157265297632,stacking,30.718904119195123,prophet,30.718904119195123,prophet,34.221229002149656,deepar,26.170449914362194,ensemble,26.591157265297632,stacking
Hidalgo,hombres,deepar,28.81334074626353,False,28.81334074626353,deepar,28.81334074626353,deepar,16.821335276442582,prophet,28.81334074626353,deepar,28.81334074626353,deepar,16.821335276442582,prophet,28.81334074626353,deepar,31.892425470615805,ensemble,38.325323008127704,stacking
Hidalgo,mujeres,deepar,20.619164236306325,False,20.619164236306325,deepar,20.619164236306325,deepar,13.48094958756544,prophet,20.619164236306325,deepar,20.619164236306325,deepar,13.48094958756544,prophet,20.619164236306325,deepar,11.889467733223743,ensemble,12.823303361424903,stacking
Hidalgo,general,deepar,22.873968909538096,False,22.873968909538096,deepar,22.873968909538096,deepar,13.025606203072135,prophet,22.873968909538096,deepar,22.873968909538096,deepar,13.025606203072135,prophet,22.873968909538096,deepar,11.634251320305562,ensemble,10.879162696266768,stacking
Jalisco,hombres,deepar,16.032362957400128,False,20.793435991300015,prophet,31.000529798615712,stacking,20.793435991300015,prophet,20.793435991300015,prophet,20.793435991300015,prophet,20.793435991300015,prophet,16.032362957400128,deepar,30.2644680008405,ensemble,31.000529798615712,stacking
Jalisco,mujeres,deepar,18.484130256054996,False,13.138544890299153,ensemble,13.138544890299153,ensemble,13.138544890299153,ensemble,11.685939041955399,prophet,13.138544890299153,ensemble,11.685939041955399,prophet,18.484130256054996,deepar,13.138544890299153,ensemble,12.712331995966828,stacking
Jalisco,general,deepar,23.871870977972623,False,8.089961287370102,ensemble,8.089961287370102,ensemble,8.089961287370102,ensemble,19.813290877665725,stacking,8.089961287370102,ensemble,10.131951961721109,prophet,23.871870977972623,deepar,8.089961287370102,ensemble,19.813290877665725,stacking
Michoacán,hombres,deepar,59.05203276693063,False,59.05203276693063,deepar,59.05203276693063,deepar,46.158062041291466,prophet,59.05203276693063,deepar,59.05203276693063,deepar,46.158062041291466,prophet,59.05203276693063,deepar,47.03242945322852,ensemble,53.77325897797479,stacking
Michoacán,mujeres,deepar,56.08412809331066,False,56.08412809331066,deepar,56.08412809331066,deepar,45.03835473621808,prophet,56.08412809331066,deepar,56.08412809331066,deepar,45.03835473621808,prophet,56.08412809331066,deepar,47.611417479486576,ensemble,52.043198460334516,stacking
Michoacán,general,deepar,42.65269297310862,False,42.65269297310862,deepar,42.65269297310862,deepar,62.78781111346399,prophet,42.65269297310862,deepar,42.65269297310862,deepar,62.78781111346399,prophet,42.65269297310862,deepar,63.19072746137648,ensemble,88.25596026282285,stacking
Morelos,hombres,deepar,39.38248754092591,False,28.476362007657315,prophet,29.21279056143206,stacking,28.476362007657315,prophet,28.476362007657315,prophet,28.476362007657315,prophet,28.476362007657315,prophet,39.38248754092591,deepar,27.447317272751548,ensemble,29.21279056143206,stacking
Morelos,mujeres,deepar,29.455838790091704,False,29.455838790091704,deepar,29.455838790091704,deepar,21.06499039978405,ensemble,29.455838790091704,deepar,29.455838790091704,deepar,24.376472831419086,prophet,29.455838790091704,deepar,21.06499039978405,ensemble,23.016039278086346,stacking
Morelos,general,deepar,23.005142164687527,False,23.005142164687527,deepar,23.005142164687527,deepar,25.45013933909151,prophet,23.005142164687527,deepar,23.005142164687527,deepar,25.45013933909151,prophet,23.005142164687527,deepar,25.24099786067387,ensemble,24.383374854774395,stacking
México,hombres,deepar,16.279417053637374,False,32.68115860199604,stacking,32.68115860199604,stacking,32.68115860199604,stacking,32.68115860199604,stacking,10.671144858087931,prophet,10.671144858087931,prophet,16.279417053637374,deepar,60.05176442057605,ensemble,32.68115860199604,stacking
México,mujeres,deepar,69.03145692605017,False,16.65883492404096,prophet,17.61439031029381,ensemble,16.65883492404096,prophet,16.65883492404096,prophet,16.65883492404096,prophet,16.65883492404096,prophet,69.03145692605017,deepar,17.61439031029381,ensemble,26.878939026492116,stacking
México,general,deepar,22.709143131139495,False,9.063849530166705,ensemble,9.063849530166705,ensemble,9.063849530166705,ensemble,22.709143131139495,deepar,9.063849530166705,ensemble,15.040378277034186,prophet,22.709143131139495,deepar,9.063849530166705,ensemble,40.156494696424005,stacking
Nayarit,hombres,deepar,23.56970680019856,False,23.74356390494666,prophet,23.56970680019856,deepar,23.74356390494666,prophet,23.74356390494666,prophet,23.74356390494666,prophet,23.74356390494666,prophet,23.56970680019856,deepar,45.926637832213416,ensemble,28.589696102085888,stacking
Nayarit,mujeres,deepar,18.025514653415687,False,18.025514653415687,deepar,18.025514653415687,deepar,70.90775059726349,stacking,18.025514653415687,deepar,18.025514653415687,deepar,20.484953104603434,prophet,18.025514653415687,deepar,69.33719997824646,ensemble,70.90775059726349,stacking
