entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Nacional,hombres,False,7.7691187595767435,prophet,7.949269061907298,deepar,7.7691187595767435,prophet,7.7691187595767435,prophet,7.7691187595767435,prophet,7.7691187595767435,prophet,7.949269061907298,deepar,9.689236562906004,ensemble,43.57363831484126,stacking
Nacional,mujeres,False,8.112901146926868,ensemble,8.112901146926868,ensemble,8.112901146926868,ensemble,8.94966136501254,stacking,8.112901146926868,ensemble,8.114762195423452,prophet,11.171198777739974,deepar,8.112901146926868,ensemble,8.94966136501254,stacking
Nacional,general,False,7.276238094048174,ensemble,7.276238094048174,ensemble,7.276238094048174,ensemble,10.82927831623623,deepar,7.276238094048174,ensemble,8.36301421534035,prophet,10.82927831623623,deepar,7.276238094048174,ensemble,16.262220838080093,stacking
Aguascalientes,hombres,False,40.47890705785443,deepar,40.47890705785443,deepar,38.498273312514804,ensemble,40.47890705785443,deepar,40.47890705785443,deepar,26.744758509464393,prophet,40.47890705785443,deepar,38.498273312514804,ensemble,25.604691146486815,stacking
Aguascalientes,mujeres,False,36.15454498361841,deepar,36.15454498361841,deepar,30.5474426497651,ensemble,36.15454498361841,deepar,36.15454498361841,deepar,26.980519323377393,prophet,36.15454498361841,deepar,30.5474426497651,ensemble,26.708201467469483,stacking
Aguascalientes,general,False,26.91517809591405,deepar,26.91517809591405,deepar,27.70372710015834,ensemble,26.91517809591405,deepar,26.91517809591405,deepar,23.081224099706255,prophet,26.91517809591405,deepar,27.70372710015834,ensemble,23.41235115262466,stacking
Baja California,hombres,False,19.84595628803173,deepar,19.84595628803173,deepar,22.875534188305373,ensemble,19.84595628803173,deepar,19.84595628803173,deepar,22.20493341622161,prophet,19.84595628803173,deepar,22.875534188305373,ensemble,28.564922390337756,stacking
Baja California,mujeres,False,18.350669016390086,deepar,18.350669016390086,deepar,11.72864048041809,stacking,18.350669016390086,deepar,18.350669016390086,deepar,12.78289643766952,prophet,18.350669016390086,deepar,12.37290992791321,ensemble,11.72864048041809,stacking
Baja California,general,False,16.160742261384723,deepar,16.160742261384723,deepar,12.093066077097749,stacking,16.160742261384723,deepar,16.160742261384723,deepar,11.261067971719472,prophet,16.160742261384723,deepar,8.90782891140712,ensemble,12.093066077097749,stacking
Baja California Sur,hombres,False,85.91810966810966,deepar,85.91810966810966,deepar,68.10335497835499,ensemble,85.91810966810966,deepar,85.91810966810966,deepar,107.80618686868686,prophet,85.91810966810966,deepar,68.10335497835499,ensemble,64.12698412698413,stacking
Baja California Sur,mujeres,False,41.730230819904726,deepar,41.730230819904726,deepar,37.97538028482638,stacking,41.730230819904726,deepar,41.730230819904726,deepar,38.64134657612918,prophet,41.730230819904726,deepar,40.485519326547724,ensemble,37.97538028482638,stacking
Baja California Sur,general,False,38.544893360038564,deepar,38.544893360038564,deepar,34.50533586545822,ensemble,38.544893360038564,deepar,38.544893360038564,deepar,43.10311231817767,prophet,38.544893360038564,deepar,34.50533586545822,ensemble,34.10707165575103,stacking
Campeche,hombres,False,33.704241664767984,deepar,33.704241664767984,deepar,29.275152358634323,stacking,33.704241664767984,deepar,33.704241664767984,deepar,31.106122600982278,prophet,33.704241664767984,deepar,38.2504810291188,ensemble,29.275152358634323,stacking
Campeche,mujeres,False,29.23616695360871,deepar,29.23616695360871,deepar,22.913803487807982,prophet,29.23616695360871,deepar,29.23616695360871,deepar,22.913803487807982,prophet,29.23616695360871,deepar,25.132837687138696,ensemble,23.903817764243172,stacking
Campeche,general,False,26.764678845217087,deepar,26.764678845217087,deepar,20.326420432718052,prophet,26.764678845217087,deepar,26.764678845217087,deepar,20.326420432718052,prophet,26.764678845217087,deepar,23.107202997721814,ensemble,21.54208459027835,stacking
Chiapas,hombres,False,49.70254756613504,deepar,49.70254756613504,deepar,21.22687344906149,stacking,49.70254756613504,deepar,49.70254756613504,deepar,22.172164011376807,prophet,49.70254756613504,deepar,38.69263290845099,ensemble,21.22687344906149,stacking
Chiapas,mujeres,False,24.435117045244574,deepar,24.435117045244574,deepar,31.839620200534252,stacking,24.435117045244574,deepar,24.435117045244574,deepar,15.326586982794922,prophet,24.435117045244574,deepar,27.821159063017376,ensemble,31.839620200534252,stacking
Chiapas,general,False,23.67508116584162,deepar,23.67508116584162,deepar,24.626326559617123,stacking,23.67508116584162,deepar,23.67508116584162,deepar,21.180573594052298,prophet,23.67508116584162,deepar,22.02857952975801,ensemble,24.626326559617123,stacking
Chihuahua,hombres,False,25.9669123571724,deepar,25.9669123571724,deepar,33.36096102456742,ensemble,25.9669123571724,deepar,25.9669123571724,deepar,19.77665788930354,prophet,25.9669123571724,deepar,33.36096102456742,ensemble,24.029911284465094,stacking
Chihuahua,mujeres,False,15.818396967868123,deepar,15.818396967868123,deepar,14.812100449546634,stacking,15.818396967868123,deepar,15.818396967868123,deepar,14.473278379905064,prophet,15.818396967868123,deepar,13.85321149785411,ensemble,14.812100449546634,stacking
Chihuahua,general,False,15.102122768660895,deepar,15.102122768660895,deepar,16.84028714893791,stacking,15.102122768660895,deepar,15.102122768660895,deepar,15.181133673427786,prophet,15.102122768660895,deepar,14.396412286488705,ensemble,16.84028714893791,stacking
Ciudad de México,hombres,False,14.683919492897626,deepar,14.683919492897626,deepar,25.195076573847718,stacking,14.683919492897626,deepar,14.683919492897626,deepar,18.79734039610918,prophet,14.683919492897626,deepar,27.968741218775783,ensemble,25.195076573847718,stacking
