entidad,region
Ciudad de México,Metropolitana alta
Jalisco,Metropolitana alta
México,Metropolitana alta
Nuevo León,Metropolitana alta
Guerrero,Rural / dispersa
Hidalgo,Rural / dispersa
Michoacán,Rural / dispersa
Nayarit,Rural / dispersa
Puebla,Rural / dispersa
Tlaxcala,Rural / dispersa
Veracruz,Rural / dispersa
Campeche,Sur-Sureste vulnerable
Chiapas,Sur-Sureste vulnerable
Oaxaca,Sur-Sureste vulnerable
Quintana Roo,Sur-Sureste vulnerable
Tabasco,Sur-Sureste vulnerable
Yucatán,Sur-Sureste vulnerable
Aguascalientes,Urbana media
Baja California,Urbana media
Baja California Sur,Urbana media
Chihuahua,Urbana media
Coahuila,Urbana media
Colima,Urbana media
Durango,Urbana media
Guanajuato,Urbana media
Morelos,Urbana media
Querétaro,Urbana media
San Luis Potosí,Urbana media
Sinaloa,Urbana media
Sonora,Urbana media
Tamaulipas,Urbana media
Zacatecas,Urbana media
