numero,padecimiento,entidad,sexo,prophet_rmse,prophet_mae,prophet_smape,prophet_mase,deepar_rmse,deepar_mae,deepar_smape,deepar_mase,ensemble_rmse,ensemble_mae,ensemble_smape,ensemble_mase,stacking_rmse,stacking_mae,stacking_smape,stacking_mase,mejor_rmse,mejor_mae,mejor_smape,mejor_mase,victorias,modelo_produccion,justificacion
1,Alzheimer,Nacional,hombres,5.1668,4.2177,24.2449,0.5729,5.1727,4.1478,27.0233,0.5869,5.4077,4.2353,25.9458,0.5993,4.9851,3.6628,23.1409,0.5191,Stacking,Stacking,Stacking,Stacking,4/4,Stacking,"Stacking gana por margen minimo (RMSE 4.99 vs Prophet 5.17, -3.5%). Gana en 4/4 metricas. MASE=0.52 supera naive seasonal."
2,Alzheimer,Nacional,mujeres,7.7588,6.2975,23.6471,0.5713,7.7326,6.4609,25.5935,0.6234,7.2736,5.3062,21.4806,0.512,7.0196,5.3851,21.4723,0.5196,Stacking,Ensemble,Stacking,Ensemble,2/4,Ensemble,Ensemble elegido por desempate MASE/MAE (RMSE 7.27 vs Stacking 7.02). Gana en 2/4 metricas. MASE=0.51 supera naive seasonal.
3,Alzheimer,Nacional,general,10.8258,9.0505,20.3483,0.5532,8.3331,6.9236,17.3755,0.4491,10.0289,7.363,18.013,0.4776,9.6775,7.1563,17.5652,0.4645,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 8.33 (vs Stacking 9.68). Gana en 4/4 metricas. MASE=0.45 supera naive seasonal.
4,Alzheimer,Aguascalientes,hombres,0.3983,0.2599,193.7448,0.9829,0.4385,0.1539,199.9975,0.5821,0.4325,0.3141,190.8599,1.1883,0.4264,0.1455,200.0,0.5502,Prophet,Stacking,Ensemble,Stacking,1/4,Prophet,Prophet domina con RMSE 0.40 (vs Stacking 0.43). MASE=0.98 supera naive seasonal. Serie de bajo volumen.
5,Alzheimer,Aguascalientes,mujeres,0.3443,0.2906,190.9474,0.6243,0.3668,0.1349,199.9807,0.2921,0.4035,0.3712,187.8256,0.7974,0.3568,0.1273,200.0,0.2734,Prophet,Stacking,Ensemble,Stacking,2/4,Stacking,Stacking elegido por desempate MASE/MAE (RMSE 0.36 vs Prophet 0.34). Gana en 2/4 metricas. MASE=0.27 supera naive seasonal. Serie de bajo volumen.
6,Alzheimer,Aguascalientes,general,0.4883,0.4464,174.112,0.7082,0.2668,0.1807,158.2539,0.2866,0.7766,0.7188,167.6286,1.1405,0.556,0.2727,200.0,0.4327,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.27 (vs Prophet 0.49). Gana en 4/4 metricas. MASE=0.29 supera naive seasonal. Serie de bajo volumen.
7,Alzheimer,Baja California,hombres,0.8273,0.7093,143.5874,0.8111,0.4734,0.289,160.5751,0.3452,0.8027,0.712,150.7364,0.8466,0.685,0.3665,199.4413,0.4358,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.47 (vs Stacking 0.68). Gana en 3/4 metricas. MASE=0.35 supera naive seasonal. Serie de bajo volumen.
8,Alzheimer,Baja California,mujeres,1.1308,0.9486,84.7283,0.642,0.3757,0.2127,125.1784,0.1512,1.1259,0.9476,135.3963,0.6693,1.1077,0.826,157.9425,0.5835,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.38 (vs Stacking 1.11). Gana en 3/4 metricas. MASE=0.15 supera naive seasonal.
9,Alzheimer,Baja California,general,1.5666,1.2922,76.5075,0.644,0.5625,0.3589,94.3537,0.1883,1.4304,1.2147,105.1496,0.6328,1.2648,1.01,116.0803,0.5262,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.56 (vs Stacking 1.26). Gana en 3/4 metricas. MASE=0.19 supera naive seasonal.
10,Alzheimer,Baja California Sur,hombres,0.0,0.0,0.0,,0.0,0.0,200.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,Prophet,Prophet,Prophet,,3/3,Prophet,Prophet elegido por desempate MASE/MAE (RMSE 0.00 vs Ensemble 0.00). Gana en 3/3 metricas.
11,Alzheimer,Baja California Sur,mujeres,0.0,0.0,0.0,,0.0,0.0,200.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,Prophet,Prophet,Prophet,,3/3,Prophet,Prophet elegido por desempate MASE/MAE (RMSE 0.00 vs Ensemble 0.00). Gana en 3/3 metricas.
12,Alzheimer,Baja California Sur,general,0.0,0.0,0.0,,0.0,0.0,200.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,Prophet,Prophet,Prophet,,3/3,Prophet,Prophet elegido por desempate MASE/MAE (RMSE 0.00 vs Ensemble 0.00). Gana en 3/3 metricas.
13,Alzheimer,Campeche,hombres,0.4159,0.3754,181.1516,0.9242,0.3724,0.2143,189.3409,0.5277,0.7347,0.6749,167.3514,1.6618,0.4671,0.2182,200.0,0.5372,DeepAR,DeepAR,Ensemble,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.37 (vs Prophet 0.42). Gana en 3/4 metricas. MASE=0.53 supera naive seasonal. Serie de bajo volumen.
14,Alzheimer,Campeche,mujeres,0.4401,0.3107,189.795,0.7114,0.4599,0.1731,199.9952,0.3964,0.4427,0.309,190.2062,0.7074,0.4862,0.2,200.0,0.4579,Prophet,DeepAR,Prophet,DeepAR,2/4,DeepAR,DeepAR elegido por desempate MASE/MAE (RMSE 0.46 vs Prophet 0.44). Gana en 2/4 metricas. MASE=0.40 supera naive seasonal. Serie de bajo volumen.
15,Alzheimer,Campeche,general,0.7946,0.6527,156.2818,0.8978,0.6325,0.3391,183.6737,0.4562,0.7178,0.6076,170.3523,0.8174,0.7977,0.4182,200.0,0.5626,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.63 (vs Ensemble 0.72). Gana en 3/4 metricas. MASE=0.46 supera naive seasonal. Serie de bajo volumen.
16,Alzheimer,Chiapas,hombres,0.6745,0.5724,163.1259,0.9894,0.6486,0.4501,169.2222,0.7831,0.7113,0.586,163.7635,1.0128,0.7862,0.4,200.0,0.6914,DeepAR,Stacking,Prophet,Stacking,1/4,DeepAR,"DeepAR gana por margen minimo (RMSE 0.65 vs Prophet 0.67, -3.8%). MASE=0.78 supera naive seasonal. Serie de bajo volumen."
17,Alzheimer,Chiapas,mujeres,0.7475,0.652,151.1257,0.8855,0.7527,0.4937,164.7447,0.6853,0.819,0.6522,159.4235,0.9031,0.9342,0.5091,200.0,0.7049,Prophet,DeepAR,Prophet,DeepAR,2/4,DeepAR,DeepAR elegido por desempate MASE/MAE (RMSE 0.75 vs Prophet 0.75). Gana en 2/4 metricas. MASE=0.69 supera naive seasonal. Serie de bajo volumen.
18,Alzheimer,Chiapas,general,1.1695,0.8774,108.6205,0.8044,0.9362,0.6103,117.1567,0.5589,1.0941,0.8525,113.2978,0.7766,1.3242,0.8926,176.7832,0.8131,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.94 (vs Ensemble 1.09). Gana en 3/4 metricas. MASE=0.56 supera naive seasonal.
19,Alzheimer,Chihuahua,hombres,1.027,0.8219,74.5539,0.5878,1.0401,0.6236,60.9666,0.4704,1.3821,0.9948,75.5042,0.7504,1.5198,0.9952,83.6896,0.7507,Prophet,DeepAR,DeepAR,DeepAR,3/4,DeepAR,DeepAR elegido por desempate MASE/MAE (RMSE 1.04 vs Prophet 1.03). Gana en 3/4 metricas. MASE=0.47 supera naive seasonal.
20,Alzheimer,Chihuahua,mujeres,1.4797,1.2017,60.6955,0.5859,0.3609,0.1726,5.4531,0.0898,1.8649,1.507,54.6663,0.7843,1.6643,1.3766,49.6935,0.7164,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.36 (vs Prophet 1.48). Gana en 4/4 metricas. MASE=0.09 supera naive seasonal.
21,Alzheimer,Chihuahua,general,1.8324,1.5169,46.5194,0.5363,1.3696,0.7877,16.6972,0.3039,2.7182,2.1681,51.1091,0.8365,2.4692,2.006,46.813,0.7739,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 1.37 (vs Prophet 1.83). Gana en 4/4 metricas. MASE=0.30 supera naive seasonal.
22,Alzheimer,Ciudad de México,hombres,0.8884,0.7254,144.4831,0.5655,0.8807,0.5361,173.0729,0.4603,0.8328,0.6599,144.8676,0.5666,1.0,0.6,200.0,0.5151,Ensemble,DeepAR,Prophet,DeepAR,1/4,Ensemble,Ensemble domina con RMSE 0.83 (vs DeepAR 0.88). MASE=0.57 supera naive seasonal.
23,Alzheimer,Ciudad de México,mujeres,1.3952,1.1459,95.6495,0.7091,0.3525,0.1815,89.85,0.1183,1.3452,1.156,103.127,0.7534,1.084,0.9218,121.039,0.6007,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.35 (vs Stacking 1.08). Gana en 4/4 metricas. MASE=0.12 supera naive seasonal.
24,Alzheimer,Ciudad de México,general,1.7449,1.3004,79.9426,0.5744,0.7155,0.3915,62.7212,0.1853,1.643,1.433,88.5835,0.6782,1.4866,1.268,92.2988,0.6001,DeepAR,DeepAR,DeepAR,DeepAR,4/4,DeepAR,DeepAR domina con RMSE 0.72 (vs Stacking 1.49). Gana en 4/4 metricas. MASE=0.19 supera naive seasonal.
25,Alzheimer,Coahuila,hombres,0.987,0.7783,127.334,0.9543,1.4568,0.915,185.4901,1.0758,1.2517,0.964,137.9763,1.1334,1.4793,0.919,187.6992,1.0805,Prophet,Prophet,Prophet,Prophet,4/4,Prophet,Prophet domina con RMSE 0.99 (vs Ensemble 1.25). Gana en 4/4 metricas. MASE=0.95 supera naive seasonal.
26,Alzheimer,Coahuila,mujeres,1.2548,0.8837,130.8626,0.8916,1.4586,1.0528,132.1759,1.033,1.5019,1.0379,130.9303,1.0164,1.5886,1.0232,151.5346,1.0021,Prophet,Prophet,Prophet,Prophet,4/4,Prophet,Prophet domina con RMSE 1.25 (vs DeepAR 1.46). Gana en 4/4 metricas. MASE=0.89 supera naive seasonal.
27,Alzheimer,Coahuila,general,1.7572,1.2548,89.4317,0.8068,1.9941,1.3708,98.9117,0.8812,2.2051,1.759,108.6305,1.1294,2.2777,1.6987,115.1181,1.0906,Prophet,Prophet,Prophet,Prophet,4/4,Prophet,Prophet domina con RMSE 1.76 (vs DeepAR 1.99). Gana en 4/4 metricas. MASE=0.81 supera naive seasonal.
28,Alzheimer,Colima,hombres,0.8843,0.6642,148.1774,1.2747,0.6669,0.5254,163.5046,1.0082,0.8964,0.663,152.5633,1.2724,1.0357,0.5273,200.0,1.0119,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 0.67 (vs Prophet 0.88). Gana en 3/4 metricas. Serie de bajo volumen.
29,Alzheimer,Colima,mujeres,1.0312,0.873,130.9171,1.2401,1.0399,0.6391,176.5522,0.8299,1.0981,0.8252,153.4995,1.0715,1.2752,0.7177,194.5717,0.932,Prophet,DeepAR,Prophet,DeepAR,2/4,DeepAR,DeepAR elegido por desempate MASE/MAE (RMSE 1.04 vs Prophet 1.03). Gana en 2/4 metricas. MASE=0.83 supera naive seasonal. Serie de bajo volumen.
30,Alzheimer,Colima,general,1.3594,1.1487,107.1693,1.0877,1.1593,0.8204,123.5034,0.7283,1.5203,1.1163,107.5862,0.991,1.7127,1.1504,150.6632,1.0213,DeepAR,DeepAR,Prophet,DeepAR,3/4,DeepAR,DeepAR domina con RMSE 1.16 (vs Prophet 1.36). Gana en 3/4 metricas. MASE=0.73 supera naive seasonal.
31,Alzheimer,Durango,hombres,1.1382,0.7985,145.686,1.2443,1.093,0.7769,159.6852,1.2106,1.1753,0.789,151.3548,1.2295,1.2577,0.7091,200.0,1.1049,DeepAR,Stacking,Prophet,Stacking,1/4,DeepAR,"DeepAR gana por margen minimo (RMSE 1.09 vs Prophet 1.14, -4.0%). Serie de bajo volumen."
